"Sex","year","age","px"
"Male",1952,11,0.99297664
"Male",1952,12,0.99369599
"Male",1952,13,0.99405374
"Male",1952,14,0.99414253
"Male",1952,15,0.99403502
"Male",1952,16,0.99381107
"Male",1952,17,0.99355236
"Male",1952,18,0.99331114
"Male",1952,19,0.99312564
"Male",1952,20,0.99298952
"Male",1952,21,0.99287704
"Male",1952,22,0.99275913
"Male",1952,23,0.99260719
"Male",1952,24,0.99241235
"Male",1952,25,0.99217584
"Male",1952,26,0.99190913
"Male",1952,27,0.99162964
"Male",1952,28,0.99134849
"Male",1952,29,0.99107236
"Male",1952,30,0.99079881
"Male",1952,31,0.99051861
"Male",1952,32,0.99021954
"Male",1952,33,0.98988685
"Male",1952,34,0.98950582
"Male",1952,35,0.98906164
"Male",1952,36,0.9885454
"Male",1952,37,0.98795491
"Male",1952,38,0.98730462
"Male",1952,39,0.98662947
"Male",1952,40,0.98597805
"Male",1952,41,0.98541209
"Male",1952,42,0.98496194
"Male",1952,43,0.9846098
"Male",1952,44,0.98428465
"Male",1952,45,0.98384799
"Male",1952,46,0.98316665
"Male",1952,47,0.98212071
"Male",1952,48,0.98065075
"Male",1952,49,0.97884331
"Male",1952,50,0.97688746
"Male",1952,51,0.97514131
"Male",1952,52,0.97392436
"Male",1952,53,0.97327832
"Male",1952,54,0.97301105
"Male",1952,55,0.97254545
"Male",1952,56,0.97128034
"Male",1952,57,0.96866292
"Male",1952,58,0.96413851
"Male",1952,59,0.9576406
"Male",1952,60,0.94951996
"Male",1952,61,0.94124828
"Male",1952,62,0.9350873
"Male",1952,63,0.93248733
"Male",1952,64,0.9338331
"Male",1952,65,0.93752855
"Male",1952,66,0.94164517
"Male",1952,67,0.94479219
"Male",1952,68,0.94603815
"Male",1952,69,0.94517903
"Male",1952,70,0.94210275
"Male",1952,71,0.93691045
"Male",1952,72,0.92978992
"Male",1952,73,0.92100482
"Male",1952,74,0.9110105
"Male",1952,75,0.90365315
"Male",1952,76,0.89572069
"Male",1952,77,0.88717382
"Male",1952,78,0.87797149
"Male",1952,79,0.86807105
"Male",1952,80,0.8574283
"Male",1952,81,0.84599775
"Male",1952,82,0.83373276
"Male",1952,83,0.82058585
"Male",1952,84,0.80650906
"Male",1952,85,0.79145427
"Male",1952,86,0.77537372
"Male",1952,87,0.76243121
"Male",1952,88,0.74931983
"Male",1952,89,0.73577056
"Male",1952,90,0.72138589
"Male",1952,91,0.70585672
"Male",1952,92,0.68906412
"Male",1952,93,0.67115204
"Male",1952,94,0.6527108
"Male",1952,95,0.63924995
"Male",1952,96,0.62352009
"Male",1952,97,0.60798327
"Male",1952,98,0.5927052
"Male",1952,99,0.57774713
"Male",1952,100,0
"Male",1953,0,0.83441353
