"Sex","year","age","px"
"Male",1951,85,0.7348543
"Male",1951,86,0.72241021
"Male",1951,87,0.7099879
"Male",1951,88,0.69758183
"Male",1951,89,0.68511784
"Male",1951,90,0.67243666
"Male",1951,91,0.65944302
"Male",1951,92,0.64616079
"Male",1951,93,0.63276349
"Male",1951,94,0.61965812
"Male",1951,95,0.60786368
"Male",1951,96,0.59545472
"Male",1951,97,0.58324918
"Male",1951,98,0.5712777
"Male",1951,99,0.55956837
"Male",1951,100,0
"Male",1952,0,0.91689681
"Male",1952,1,0.9867753
"Male",1952,2,0.99100777
"Male",1952,3,0.99383699
"Male",1952,4,0.99570147
"Male",1952,5,0.99691702
"Male",1952,6,0.99770209
"Male",1952,7,0.99820331
"Male",1952,8,0.99851923
"Male",1952,9,0.9987099
"Male",1952,10,0.99881277
"Male",1952,11,0.99884874
"Male",1952,12,0.99882995
"Male",1952,13,0.99876219
"Male",1952,14,0.99865004
"Male",1952,15,0.99849845
"Male",1952,16,0.99831564
"Male",1952,17,0.99811512
"Male",1952,18,0.99791094
"Male",1952,19,0.99771856
"Male",1952,20,0.9975473
"Male",1952,21,0.9974012
"Male",1952,22,0.99727885
"Male",1952,23,0.99717462
"Male",1952,24,0.99708042
"Male",1952,25,0.99698657
"Male",1952,26,0.99688444
"Male",1952,27,0.99676636
"Male",1952,28,0.99662996
"Male",1952,29,0.9964776
"Male",1952,30,0.99631622
"Male",1952,31,0.99615701
"Male",1952,32,0.99600421
"Male",1952,33,0.99585354
"Male",1952,34,0.99568649
"Male",1952,35,0.99546782
"Male",1952,36,0.99515877
"Male",1952,37,0.99471474
"Male",1952,38,0.99410212
"Male",1952,39,0.9933141
"Male",1952,40,0.99237476
"Male",1952,41,0.99137104
"Male",1952,42,0.99040727
"Male",1952,43,0.98956079
"Male",1952,44,0.98884836
"Male",1952,45,0.98815859
"Male",1952,46,0.98733738
"Male",1952,47,0.98619681
"Male",1952,48,0.98455624
"Male",1952,49,0.98233636
"Male",1952,50,0.97951771
"Male",1952,51,0.97627437
"Male",1952,52,0.97288404
"Male",1952,53,0.96953141
"Male",1952,54,0.96628002
"Male",1952,55,0.96274625
"Male",1952,56,0.95833387
"Male",1952,57,0.9524025
"Male",1952,58,0.94429299
"Male",1952,59,0.93415172
"Male",1952,60,0.92289819
"Male",1952,61,0.91271231
"Male",1952,62,0.90643889
"Male",1952,63,0.9051663
"Male",1952,64,0.90842495
"Male",1952,65,0.91370072
"Male",1952,66,0.91832294
"Male",1952,67,0.92071749
"Male",1952,68,0.9198145
"Male",1952,69,0.91550819
"Male",1952,70,0.90795388
"Male",1952,71,0.89771405
"Male",1952,72,0.88583142
"Male",1952,73,0.87324637
"Male",1952,74,0.86088578
"Male",1952,75,0.84920374
"Male",1952,76,0.83820839
"Male",1952,77,0.82772361
"Male",1952,78,0.81742125
"Male",1952,79,0.80704047
"Male",1952,80,0.79639151
"Male",1952,81,0.78535943
"Male",1952,82,0.77390641
"Male",1952,83,0.7620483
"Male",1952,84,0.74985899
"Male",1952,85,0.73743886
"Male",1952,86,0.72491312
"Male",1952,87,0.71235856
"Male",1952,88,0.69978156
"Male",1952,89,0.68713229
"Male",1952,90,0.6742905
"Male",1952,91,0.66118945
"Male",1952,92,0.64786195
"Male",1952,93,0.63446595
"Male",1952,94,0.62135408
"Male",1952,95,0.60910797
"Male",1952,96,0.59653357
"Male",1952,97,0.58416461
"Male",1952,98,0.57203302
"Male",1952,99,0.56016812
"Male",1952,100,0
"Male",1953,0,0.92487861
"Male",1953,1,0.98917766
"Male",1953,2,0.99241386
"Male",1953,3,0.99464546
"Male",1953,4,0.99616284
"Male",1953,5,0.99718266
"Male",1953,6,0.9978603
"Male",1953,7,0.99830437
"Male",1953,8,0.99859057
"Male",1953,9,0.99876665
"Male",1953,10,0.99886306
"Male",1953,11,0.99889691
"Male",1953,12,0.99887833
"Male",1953,13,0.99881171
"Male",1953,14,0.998701
"Male",1953,15,0.99855074
"Male",1953,16,0.99836931
"Male",1953,17,0.9981709
"Male",1953,18,0.99797021
"Male",1953,19,0.9977832
"Male",1953,20,0.99761882
"Male",1953,21,0.99748006
"Male",1953,22,0.99736447
"Male",1953,23,0.99726551
"Male",1953,24,0.99717518
"Male",1953,25,0.99708449
"Male",1953,26,0.99698589
"Male",1953,27,0.99687297
"Male",1953,28,0.99674395
"Male",1953,29,0.99660117
"Male",1953,30,0.99645075
"Male",1953,31,0.9963023
"Male",1953,32,0.99615884
"Male",1953,33,0.99601552
"Male",1953,34,0.99585448
"Male",1953,35,0.99564258
"Male",1953,36,0.99534345
"Male",1953,37,0.99491532
"Male",1953,38,0.99432658
"Male",1953,39,0.99357057
"Male",1953,40,0.99266942
"Male",1953,41,0.99170376
"Male",1953,42,0.99077048
"Male",1953,43,0.98994172
"Male",1953,44,0.98923351
"Male",1953,45,0.98854175
"Male",1953,46,0.98772115
"Male",1953,47,0.98659301
"Male",1953,48,0.98498437
"Male",1953,49,0.98281782
"Male",1953,50,0.98007283
"Male",1953,51,0.97691284
"Male",1953,52,0.97360001
"Male",1953,53,0.9703099
"Male",1953,54,0.96710454
"Male",1953,55,0.96362141
"Male",1953,56,0.95929449
"Male",1953,57,0.95351435
"Male",1953,58,0.94565541
"Male",1953,59,0.93585979
"Male",1953,60,0.92500175
"Male",1953,61,0.91514696
"Male",1953,62,0.90899153
"Male",1953,63,0.90758363
"Male",1953,64,0.91050716
"Male",1953,65,0.91539081
"Male",1953,66,0.91968584
"Male",1953,67,0.92186358
"Male",1953,68,0.92086933
"Male",1953,69,0.91657984
"Male",1953,70,0.90912934
"Male",1953,71,0.89905113
"Male",1953,72,0.88734299
"Male",1953,73,0.87490866
"Male",1953,74,0.86264553
"Male",1953,75,0.85100305
"Male",1953,76,0.84000715
"Male",1953,77,0.82950085
"Male",1953,78,0.81917404
"Male",1953,79,0.80877024
"Male",1953,80,0.79809141
"Male",1953,81,0.78701141
"Male",1953,82,0.77547934
"Male",1953,83,0.76350862
"Male",1953,84,0.75118318
"Male",1953,85,0.73862026
"Male",1953,86,0.7259688
"Male",1953,87,0.71331756
"Male",1953,88,0.70066772
"Male",1953,89,0.68794963
"Male",1953,90,0.67500486
"Male",1953,91,0.66173695
"Male",1953,92,0.64816676
"Male",1953,93,0.63446533
"Male",1953,94,0.62103906
"Male",1953,95,0.60894324
"Male",1953,96,0.59626216
"Male",1953,97,0.58379085
"Male",1953,98,0.57156205
"Male",1953,99,0.55960572
"Male",1953,100,0
"Male",1954,0,0.93211245
"Male",1954,1,0.99089556
"Male",1954,2,0.99353817
"Male",1954,3,0.99539022
"Male",1954,4,0.99667404
"Male",1954,5,0.99755579
"Male",1954,6,0.99815529
"Male",1954,7,0.99855827
"Male",1954,8,0.99882429
"Male",1954,9,0.99899251
"Male",1954,10,0.99908767
"Male",1954,11,0.99912341
"Male",1954,12,0.99910766
"Male",1954,13,0.99904203
"Male",1954,14,0.9989287
"Male",1954,15,0.998771
"Male",1954,16,0.99857905
"Male",1954,17,0.99837298
"Male",1954,18,0.99817337
"Male",1954,19,0.99800075
"Male",1954,20,0.99786096
"Male",1954,21,0.99774774
"Male",1954,22,0.99765018
"Male",1954,23,0.99755487
"Male",1954,24,0.99745505
"Male",1954,25,0.99734889
"Male",1954,26,0.99723875
"Male",1954,27,0.99713023
"Male",1954,28,0.99702691
"Male",1954,29,0.99693034
"Male",1954,30,0.9968384
"Male",1954,31,0.99674539
"Male",1954,32,0.99664202
"Male",1954,33,0.99651514
"Male",1954,34,0.99634734
"Male",1954,35,0.99611533
"Male",1954,36,0.99579459
"Male",1954,37,0.99535878
"Male",1954,38,0.99478872
"Male",1954,39,0.99408446
"Male",1954,40,0.99326916
"Male",1954,41,0.99240868
"Male",1954,42,0.99158027
"Male",1954,43,0.99084073
"Male",1954,44,0.99020419
"Male",1954,45,0.98959486
"Male",1954,46,0.98890581
"Male",1954,47,0.98800639
"Male",1954,48,0.98677412
"Male",1954,49,0.98515786
"Male",1954,50,0.98314424
"Male",1954,51,0.98083243
"Male",1954,52,0.97836953
"Male",1954,53,0.97584079
"Male",1954,54,0.97326208
"Male",1954,55,0.97039696
"Male",1954,56,0.96688419
"Male",1954,57,0.96232958
"Male",1954,58,0.95632659
"Male",1954,59,0.94891947
"Male",1954,60,0.94056784
"Male",1954,61,0.93244809
"Male",1954,62,0.92619777
"Male",1954,63,0.92271163
"Male",1954,64,0.92215195
"Male",1954,65,0.92338035
"Male",1954,66,0.92487115
"Male",1954,67,0.92545331
"Male",1954,68,0.92418606
"Male",1954,69,0.92074729
"Male",1954,70,0.91500952
"Male",1954,71,0.90711201
"Male",1954,72,0.89741724
"Male",1954,73,0.88631873
"Male",1954,74,0.87432337
"Male",1954,75,0.86191365
"Male",1954,76,0.84955828
"Male",1954,77,0.8375811
"Male",1954,78,0.82614386
"Male",1954,79,0.81516806
"Male",1954,80,0.80434401
"Male",1954,81,0.79330952
"Male",1954,82,0.78167038
"Male",1954,83,0.76922771
"Male",1954,84,0.75601278
"Male",1954,85,0.74220959
"Male",1954,86,0.72817328
"Male",1954,87,0.71416945
"Male",1954,88,0.70031145
"Male",1954,89,0.68656324
"Male",1954,90,0.67268839
"Male",1954,91,0.6584999
"Male",1954,92,0.64393009
"Male",1954,93,0.62910229
"Male",1954,94,0.61445268
"Male",1954,95,0.60117931
"Male",1954,96,0.5875351
"Male",1954,97,0.57416623
"Male",1954,98,0.56111217
"Male",1954,99,0.54840832
"Male",1954,100,0
"Male",1955,0,0.93830293
"Male",1955,1,0.99196183
"Male",1955,2,0.99448311
"Male",1955,3,0.99617632
"Male",1955,4,0.99729367
