Location,Sex,year,age,px,fx
Colombia,Female,1951,23,0.99510194,0.325897
Colombia,Female,1951,24,0.99498704,0.331234
Colombia,Female,1951,25,0.99486574,0.32800999999999997
Colombia,Female,1951,26,0.99473585,0.317512
Colombia,Female,1951,27,0.99459671,0.305455
Colombia,Female,1951,28,0.9944481,0.29315800000000003
Colombia,Female,1951,29,0.99428969,0.280873
Colombia,Female,1951,30,0.99412417,0.268355
Colombia,Female,1951,31,0.99395489,0.25836200000000004
Colombia,Female,1951,32,0.99378331,0.250596
Colombia,Female,1951,33,0.99360885,0.24521700000000002
Colombia,Female,1951,34,0.99342719,0.241115
Colombia,Female,1951,35,0.99323264,0.234724
Colombia,Female,1951,36,0.99301904,0.222168
Colombia,Female,1951,37,0.99278046,0.206214
Colombia,Female,1951,38,0.99251442,0.18705000000000002
Colombia,Female,1951,39,0.99222467,0.16425399999999998
Colombia,Female,1951,40,0.99192643,0.136456
Colombia,Female,1951,41,0.991639,0.11084000000000001
Colombia,Female,1951,42,0.99137331,0.086206
Colombia,Female,1951,43,0.99112958,0.06452200000000001
Colombia,Female,1951,44,0.99088947,0.046382
Colombia,Female,1951,45,0.99062571,0.033396999999999996
Colombia,Female,1951,46,0.99030749,0.023247
Colombia,Female,1951,47,0.98990129,0.016069
Colombia,Female,1951,48,0.98939169,0.011182000000000001
Colombia,Female,1951,49,0.98877519,0.006811
Colombia,Female,1951,50,0.9880691,0
Colombia,Female,1951,51,0.98731205,0
Colombia,Female,1951,52,0.98653473,0
Colombia,Female,1951,53,0.98575939,0
Colombia,Female,1951,54,0.98497306,0
Colombia,Female,1951,55,0.98412389,0
Colombia,Female,1951,56,0.98314281,0
Colombia,Female,1951,57,0.98194247,0
Colombia,Female,1951,58,0.98045654,0
Colombia,Female,1951,59,0.97865327,0
Colombia,Female,1951,60,0.97655008,0
Colombia,Female,1951,61,0.97422705,0
Colombia,Female,1951,62,0.9717684,0
Colombia,Female,1951,63,0.96924135,0
Colombia,Female,1951,64,0.96665364,0
Colombia,Female,1951,65,0.96392495,0
Colombia,Female,1951,66,0.96092855,0
Colombia,Female,1951,67,0.95748504,0
Colombia,Female,1951,68,0.95340574,0
Colombia,Female,1951,69,0.94860517,0
Colombia,Female,1951,70,0.9431228,0
Colombia,Female,1951,71,0.93712733,0
Colombia,Female,1951,72,0.93081916,0
Colombia,Female,1951,73,0.9243174,0
Colombia,Female,1951,74,0.91765363,0
Colombia,Female,1951,75,0.91078162,0
Colombia,Female,1951,76,0.90359453,0
Colombia,Female,1951,77,0.89591185,0
Colombia,Female,1951,78,0.88751682,0
Colombia,Female,1951,79,0.878281,0
Colombia,Female,1951,80,0.86817567,0
Colombia,Female,1951,81,0.85727006,0
Colombia,Female,1951,82,0.84567101,0
Colombia,Female,1951,83,0.83337985,0
Colombia,Female,1951,84,0.82045672,0
Colombia,Female,1951,85,0.80711142,0
Colombia,Female,1951,86,0.79353203,0
Colombia,Female,1951,87,0.77982994,0
Colombia,Female,1951,88,0.76591478,0
Colombia,Female,1951,89,0.75157822,0
Colombia,Female,1951,90,0.73670073,0
Colombia,Female,1951,91,0.72112894,0
Colombia,Female,1951,92,0.70474785,0
Colombia,Female,1951,93,0.68735716,0
Colombia,Female,1951,94,0.66903469,0
Colombia,Female,1951,95,0.65361793,0
Colombia,Female,1951,96,0.63741251,0
Colombia,Female,1951,97,0.62194501,0
Colombia,Female,1951,98,0.60715075,0
Colombia,Female,1951,99,0.59281441,0
Colombia,Female,1951,100,0,0
Colombia,Female,1952,0,0.88679099,0
Colombia,Female,1952,1,0.97162801,0
Colombia,Female,1952,2,0.980775,0
Colombia,Female,1952,3,0.98675984,0
Colombia,Female,1952,4,0.99066917,0
Colombia,Female,1952,5,0.99332931,0
Colombia,Female,1952,6,0.99507337,0
Colombia,Female,1952,7,0.99612288,0
Colombia,Female,1952,8,0.99669973,0
Colombia,Female,1952,9,0.99701229,0
Colombia,Female,1952,10,0.99726484,0
Colombia,Female,1952,11,0.99737502,0
Colombia,Female,1952,12,0.99736387,0
Colombia,Female,1952,13,0.99726007,0
Colombia,Female,1952,14,0.99709454,0
Colombia,Female,1952,15,0.99688366,0.035603
Colombia,Female,1952,16,0.99664697,0.066883
Colombia,Female,1952,17,0.99640793,0.108581
Colombia,Female,1952,18,0.99618189,0.158369
Colombia,Female,1952,19,0.9959829,0.206793
Colombia,Female,1952,20,0.99581504,0.250799
Colombia,Female,1952,21,0.99567596,0.28648700000000005
Colombia,Female,1952,22,0.99555822,0.312718
Colombia,Female,1952,23,0.99544949,0.328469
Colombia,Female,1952,24,0.99534001,0.33386200000000005
Colombia,Female,1952,25,0.99522424,0.33063099999999995
Colombia,Female,1952,26,0.99510003,0.320067
Colombia,Female,1952,27,0.99496661,0.307919
Colombia,Female,1952,28,0.99482357,0.295516
Colombia,Female,1952,29,0.99467038,0.283119
Colombia,Female,1952,30,0.99450946,0.270484
Colombia,Female,1952,31,0.99434392,0.260396
Colombia,Female,1952,32,0.99417516,0.252559
Colombia,Female,1952,33,0.99400269,0.24712399999999998
Colombia,Female,1952,34,0.99382252,0.242977
Colombia,Female,1952,35,0.99362939,0.236528
Colombia,Female,1952,36,0.9934175,0.223881
Colombia,Female,1952,37,0.99318122,0.207814
Colombia,Female,1952,38,0.99291793,0.188515
Colombia,Female,1952,39,0.99263087,0.16555799999999998
Colombia,Female,1952,40,0.9923343,0.137569
Colombia,Female,1952,41,0.99204643,0.11175700000000001
Colombia,Female,1952,42,0.99177777,0.086925
Colombia,Female,1952,43,0.99152876,0.065058
Colombia,Female,1952,44,0.99128232,0.046759999999999996
Colombia,Female,1952,45,0.9910129,0.033645
Colombia,Female,1952,46,0.99069139,0.023408
Colombia,Female,1952,47,0.9902858,0.01617
Colombia,Female,1952,48,0.98978129,0.011245
Colombia,Female,1952,49,0.98917423,0.006846
Colombia,Female,1952,50,0.98848099,0
Colombia,Female,1952,51,0.98773851,0
Colombia,Female,1952,52,0.98697623,0
Colombia,Female,1952,53,0.98621549,0
Colombia,Female,1952,54,0.98544359,0
Colombia,Female,1952,55,0.98461009,0
Colombia,Female,1952,56,0.98364761,0
Colombia,Female,1952,57,0.98247075,0
Colombia,Female,1952,58,0.9810141,0
Colombia,Female,1952,59,0.97924554,0
Colombia,Female,1952,60,0.97718065,0
Colombia,Female,1952,61,0.97489608,0
Colombia,Female,1952,62,0.97247302,0
Colombia,Female,1952,63,0.96997685,0
Colombia,Female,1952,64,0.96741558,0
Colombia,Female,1952,65,0.96471158,0
Colombia,Female,1952,66,0.96174139,0
Colombia,Female,1952,67,0.95832918,0
Colombia,Female,1952,68,0.95428905,0
Colombia,Female,1952,69,0.94953453,0
Colombia,Female,1952,70,0.94410041,0
Colombia,Female,1952,71,0.93814771,0
Colombia,Female,1952,72,0.93186956,0
Colombia,Female,1952,73,0.9253758,0
Colombia,Female,1952,74,0.91869718,0
Colombia,Female,1952,75,0.91179884,0
Colombia,Female,1952,76,0.90458671,0
Colombia,Female,1952,77,0.89689344,0
Colombia,Female,1952,78,0.8885068,0
Colombia,Female,1952,79,0.87929433,0
Colombia,Female,1952,80,0.8692247,0
Colombia,Female,1952,81,0.85835924,0
Colombia,Female,1952,82,0.84679639,0
Colombia,Female,1952,83,0.83459445,0
Colombia,Female,1952,84,0.82183337,0
Colombia,Female,1952,85,0.80866936,0
Colombia,Female,1952,86,0.79524316,0
Colombia,Female,1952,87,0.78162488,0
Colombia,Female,1952,88,0.76757362,0
Colombia,Female,1952,89,0.75287392,0
Colombia,Female,1952,90,0.7375748,0
Colombia,Female,1952,91,0.72167608,0
Colombia,Female,1952,92,0.70520039,0
Colombia,Female,1952,93,0.68798309,0
Colombia,Female,1952,94,0.66996177,0
Colombia,Female,1952,95,0.65487695,0
Colombia,Female,1952,96,0.63889595,0
Colombia,Female,1952,97,0.62347981,0
Colombia,Female,1952,98,0.60849376,0
Colombia,Female,1952,99,0.59373,0
Colombia,Female,1952,100,0,0
Colombia,Female,1953,0,0.88958598,0
Colombia,Female,1953,1,0.97280427,0
Colombia,Female,1953,2,0.98166841,0
Colombia,Female,1953,3,0.98743499,0
Colombia,Female,1953,4,0.99118084,0
Colombia,Female,1953,5,0.99372039,0
Colombia,Female,1953,6,0.9953787,0
Colombia,Female,1953,7,0.9963703,0
Colombia,Female,1953,8,0.99691012,0
Colombia,Female,1953,9,0.99719991,0
Colombia,Female,1953,10,0.99743744,0
Colombia,Female,1953,11,0.99754116,0
Colombia,Female,1953,12,0.99753095,0
Colombia,Female,1953,13,0.9974344,0
Colombia,Female,1953,14,0.99728115,0
Colombia,Female,1953,15,0.99708652,0.035947
Colombia,Female,1953,16,0.99686845,0.067517
Colombia,Female,1953,17,0.99664825,0.109556
Colombia,Female,1953,18,0.99643963,0.15971000000000002
Colombia,Female,1953,19,0.99625516,0.208454
Colombia,Female,1953,20,0.99609861,0.25272100000000003
Colombia,Female,1953,21,0.99596797,0.28862400000000005
Colombia,Female,1953,22,0.99585659,0.315027
Colombia,Female,1953,23,0.99575315,0.33089100000000005
Colombia,Female,1953,24,0.99564856,0.336337
Colombia,Female,1953,25,0.9955377,0.3331
Colombia,Female,1953,26,0.9954185,0.322473
Colombia,Female,1953,27,0.99529014,0.310239
Colombia,Female,1953,28,0.99515208,0.297735
Colombia,Female,1953,29,0.99500363,0.285231
Colombia,Female,1953,30,0.99484697,0.27248300000000003
Colombia,Female,1953,31,0.99468496,0.262306
Colombia,Female,1953,32,0.99451893,0.254401
Colombia,Female,1953,33,0.99434841,0.248915
Colombia,Female,1953,34,0.99416969,0.244725
Colombia,Female,1953,35,0.99397792,0.23822200000000002
Colombia,Female,1953,36,0.99376763,0.225493
Colombia,Female,1953,37,0.99353346,0.209322
Colombia,Female,1953,38,0.99327268,0.18989799999999998
Colombia,Female,1953,39,0.99298812,0.166791
Colombia,Female,1953,40,0.99269314,0.138624
Colombia,Female,1953,41,0.99240493,0.112629
Colombia,Female,1953,42,0.99213361,0.08761
Colombia,Female,1953,43,0.99187977,0.06556999999999999
Colombia,Female,1953,44,0.99162744,0.047119
Colombia,Female,1953,45,0.99135264,0.033879
Colombia,Female,1953,46,0.99102772,0.023558
Colombia,Female,1953,47,0.99062218,0.016263000000000003
Colombia,Female,1953,48,0.99012162,0.011302
Colombia,Female,1953,49,0.98952236,0.006876
Colombia,Female,1953,50,0.98883993,0
Colombia,Female,1953,51,0.98810975,0
Colombia,Female,1953,52,0.9873601,0
Colombia,Female,1953,53,0.98661149,0
Colombia,Female,1953,54,0.98585146,0
Colombia,Female,1953,55,0.98503084,0
Colombia,Female,1953,56,0.98408372,0
Colombia,Female,1953,57,0.98292643,0
Colombia,Female,1953,58,0.98149442,0
Colombia,Female,1953,59,0.97975519,0
Colombia,Female,1953,60,0.97772263,0
Colombia,Female,1953,61,0.97547026,0
Colombia,Female,1953,62,0.97307649,0
Colombia,Female,1953,63,0.97060498,0
Colombia,Female,1953,64,0.96806388,0
Colombia,Female,1953,65,0.96537792,0
Colombia,Female,1953,66,0.96242651,0
Colombia,Female,1953,67,0.95903692,0
Colombia,Female,1953,68,0.95502559,0
Colombia,Female,1953,69,0.95030504,0
Colombia,Female,1953,70,0.94490592,0
Colombia,Female,1953,71,0.9389823,0
Colombia,Female,1953,72,0.93272076,0
Colombia,Female,1953,73,0.92623542,0
Colombia,Female,1953,74,0.91956064,0
Colombia,Female,1953,75,0.91265979,0
Colombia,Female,1953,76,0.90543867,0
Colombia,Female,1953,77,0.89773056,0
Colombia,Female,1953,78,0.88932171,0
Colombia,Female,1953,79,0.88008195,0
Colombia,Female,1953,80,0.86998353,0
Colombia,Female,1953,81,0.85908626,0
Colombia,Female,1953,82,0.8474864,0
Colombia,Female,1953,83,0.83526859,0
Colombia,Female,1953,84,0.82252056,0
Colombia,Female,1953,85,0.80937734,0
Colombia,Female,1953,86,0.79596267,0
Colombia,Female,1953,87,0.78233338,0
Colombia,Female,1953,88,0.76816599,0
Colombia,Female,1953,89,0.75323547,0
Colombia,Female,1953,90,0.73768357,0
