"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
34.73,35.853,37.203,38.675,40.316,42.127,44.148,46.457,49.325,51.956,53.76,55.75,58.059,60.265,62.304,64.207,65.966,67.646,69.1,70.427,71.966,73.719,75.568,77.584,79.599,81.359,82.978,84.51,86.02,87.6,89.546,91.93,94.595,97.543,100.893,104.455,107.853,111.519,115.343,119.064,123.028,126.823,130.097,133.425,136.136,138.202,141.297,145.821,151.215,156.019,159.518,162.355,165.399,169.077,172.985,176.33,178.816,180.875,182.909,184.675,186.439,188.44,189.31,189.352,189.632,189.158,188.398,188.469,188.288,188.319,189.472,191.179,193.215,194.44,195.59,197.609,199.596,199.355,196.486,191.485,185.41,181.332,179.911,180.152,181.048,181.815,182.123,182.168,182.118,182.298,182.644,182.918,183.048,183.163,183.102,182.838,182.434,181.73,180.815,179.681,178.231,176.709,175.243,173.81,172.488,171.252,170.077,168.931,167.951,167.087,166.124,165.218,164.388,163.53,162.625,161.686,160.774,159.851,158.822,157.845,157.032,156.214,155.32,154.464,153.678,152.763,151.732,150.67,149.539,148.36,147.185,146.048,144.982,144.03,143.018,141.986,141.018,140.049,139.089,138.067,137.078,136.22,135.308,134.341,133.406,132.443,131.5,130.53,129.65,128.847,127.981
33.474,34.466,35.594,36.946,38.421,40.068,41.881,43.904,46.218,49.102,51.752,53.565,55.548,57.847,60.04,62.069,63.959,65.706,67.371,68.804,70.124,71.674,73.445,75.312,77.109,78.833,80.329,81.938,83.675,85.221,86.844,88.799,91.193,93.992,97.093,100.494,104.027,107.394,111.071,114.888,118.609,122.519,126.308,129.622,133.091,135.96,138.021,141.119,145.65,151.048,155.835,159.326,162.174,165.227,168.914,172.817,176.167,178.674,180.735,182.766,184.537,186.311,188.319,189.186,189.222,189.489,189.024,188.273,188.316,188.123,188.19,189.369,191.091,193.149,194.36,195.498,197.518,199.506,199.265,196.399,191.4,185.327,181.252,179.834,180.077,180.974,181.74,182.048,182.095,182.044,182.223,182.571,182.846,182.977,183.095,183.035,182.769,182.363,181.659,180.748,179.614,178.165,176.646,175.181,173.747,172.423,171.189,170.016,168.871,167.889,167.024,166.06,165.155,164.327,163.47,162.564,161.626,160.716,159.795,158.768,157.787,156.976,156.16,155.265,154.409,153.624,152.714,151.686,150.623,149.49,148.311,147.137,145.999,144.934,143.982,142.971,141.939,140.97,140.004,139.046,138.024,137.034,136.173,135.261,134.295,133.361,132.399,131.458,130.489,129.608,128.805
32.614,33.255,34.249,35.379,36.732,38.211,39.859,41.675,43.699,46.026,48.925,51.581,53.389,55.367,57.656,59.84,61.858,63.737,65.469,67.113,68.536,69.861,71.421,73.204,74.902,76.471,77.958,79.444,81.24,83.008,84.588,86.221,88.161,90.648,93.584,96.73,100.103,103.607,106.983,110.653,114.47,118.141,122.043,125.865,129.299,132.903,135.763,137.826,140.933,145.466,150.84,155.617,159.12,161.978,165.042,168.724,172.632,176.003,178.512,180.57,182.607,184.388,186.168,188.173,189.033,189.054,189.332,188.877,188.094,188.12,187.97,188.067,189.266,191.015,193.063,194.264,195.403,197.424,199.412,199.173,196.31,191.314,185.244,181.172,179.756,180,180.897,181.661,181.971,182.018,181.968,182.148,182.497,182.774,182.906,183.024,182.964,182.697,182.291,181.59,180.679,179.547,178.1,176.583,175.118,173.681,172.358,171.126,169.954,168.809,167.826,166.96,165.996,165.094,164.268,163.409,162.504,161.569,160.661,159.739,158.71,157.732,156.923,156.106,155.21,154.356,153.575,152.668,151.64,150.575,149.442,148.263,147.088,145.951,144.887,143.936,142.925,141.892,140.925,139.96,139.003,137.98,136.988,136.129,135.216,134.251,133.318,132.357,131.417,130.449,129.568
32.275,32.416,33.06,34.054,35.184,36.539,38.02,39.669,41.484,43.519,45.863,48.767,51.419,53.223,55.194,57.475,59.648,61.653,63.516,65.227,66.856,68.275,69.602,71.168,72.837,74.372,75.73,77.208,78.865,80.689,82.484,84.072,85.644,87.627,90.25,93.23,96.347,99.691,103.201,106.57,110.241,114.008,117.668,121.6,125.525,129.075,132.663,135.523,137.598,140.706,145.204,150.559,155.351,158.867,161.739,164.802,168.492,172.423,175.793,178.299,180.365,182.416,184.206,185.982,187.974,188.81,188.846,189.139,188.644,187.837,187.921,187.813,187.935,189.172,190.916,192.958,194.161,195.302,197.323,199.312,199.076,196.214,191.221,185.156,181.087,179.673,179.917,180.812,181.579,181.888,181.935,181.887,182.069,182.419,182.698,182.832,182.949,182.887,182.621,182.218,181.518,180.607,179.478,178.033,176.515,175.048,173.613,172.292,171.061,169.888,168.743,167.76,166.894,165.933,165.032,164.206,163.347,162.444,161.511,160.604,159.681,158.653,157.677,156.867,156.05,155.155,154.305,153.528,152.62,151.59,150.525,149.393,148.214,147.04,145.903,144.839,143.889,142.878,141.847,140.882,139.917,138.959,137.935,136.942,136.083,135.173,134.208,133.276,132.316,131.377,130.409
32.291,32.08,32.225,32.867,33.861,34.994,36.35,37.83,39.477,41.303,43.359,45.712,48.612,51.257,53.056,55.021,57.289,59.445,61.431,63.268,64.96,66.574,67.986,69.313,70.82,72.391,73.737,75.089,76.727,78.409,80.253,82.053,83.525,85.088,87.215,89.883,92.832,95.916,99.266,102.769,106.141,109.76,113.511,117.2,121.218,125.239,128.766,132.351,135.226,137.298,140.35,144.82,150.198,155.006,158.54,161.415,164.488,168.208,172.139,175.503,178.02,180.107,182.167,183.953,185.711,187.668,188.528,188.584,188.817,188.286,187.563,187.711,187.637,187.814,189.052,190.798,192.843,194.047,195.188,197.21,199.201,198.966,196.107,191.119,185.058,180.992,179.579,179.822,180.72,181.487,181.796,181.845,181.798,181.982,182.334,182.613,182.746,182.863,182.801,182.538,182.136,181.436,180.53,179.402,177.956,176.436,174.971,173.54,172.22,170.989,169.815,168.668,167.686,166.824,165.864,164.963,164.137,163.281,162.38,161.448,160.54,159.619,158.593,157.615,156.805,155.989,155.1,154.253,153.475,152.565,151.536,150.472,149.339,148.161,146.988,145.852,144.789,143.839,142.829,141.8,140.835,139.869,138.91,137.886,136.894,136.036,135.127,134.163,133.232,132.274,131.333
32.608,32.085,31.88,32.023,32.664,33.661,34.795,36.151,37.623,39.282,41.136,43.206,45.559,48.451,51.087,52.882,54.829,57.075,59.207,61.161,62.974,64.638,66.233,67.635,68.955,70.428,71.826,73.169,74.671,76.331,78.027,79.873,81.521,82.948,84.66,86.835,89.472,92.386,95.475,98.82,102.328,105.643,109.242,113.021,116.767,120.846,124.834,128.353,131.956,134.823,136.812,139.824,144.329,149.726,154.559,158.101,160.994,164.106,167.823,171.745,175.126,177.674,179.775,181.828,183.585,185.294,187.284,188.169,188.143,188.327,187.913,187.284,187.48,187.48,187.665,188.911,190.66,192.706,193.91,195.054,197.078,199.069,198.837,195.982,190.999,184.942,180.878,179.465,179.711,180.608,181.375,181.687,181.738,181.693,181.878,182.232,182.512,182.643,182.76,182.702,182.44,182.038,181.343,180.438,179.31,177.863,176.345,174.882,173.452,172.132,170.9,169.726,168.581,167.602,166.742,165.781,164.881,164.058,163.205,162.304,161.371,160.464,159.545,158.519,157.541,156.733,155.923,155.037,154.19,153.41,152.501,151.472,150.407,149.275,148.099,146.927,145.791,144.728,143.78,142.773,141.744,140.778,139.811,138.851,137.828,136.838,135.982,135.073,134.112,133.181,132.221
33.156,32.38,31.865,31.656,31.799,32.446,33.444,34.576,35.92,37.407,39.102,40.974,43.047,45.394,48.276,50.904,52.676,54.597,56.813,58.907,60.827,62.597,64.228,65.805,67.249,68.593,69.906,71.302,72.786,74.307,75.977,77.672,79.338,80.916,82.499,84.263,86.406,89.007,91.924,95.01,98.359,101.806,105.1,108.725,112.527,116.293,120.326,124.3,127.843,131.433,134.183,136.117,139.176,143.706,149.138,153.985,157.55,160.491,163.601,167.307,171.254,174.679,177.245,179.334,181.347,183.039,184.792,186.813,187.588,187.493,187.834,187.553,186.987,187.279,187.293,187.495,188.744,190.494,192.541,193.748,194.893,196.918,198.911,198.681,195.832,190.854,184.8,180.737,179.328,179.575,180.471,181.24,181.554,181.608,181.566,181.752,182.106,182.382,182.515,182.637,182.579,182.319,181.922,181.229,180.322,179.192,177.747,176.233,174.773,173.341,172.02,170.788,169.615,168.475,167.499,166.637,165.678,164.781,163.961,163.109,162.207,161.275,160.372,159.453,158.426,157.451,156.649,155.844,154.957,154.107,153.327,152.42,151.391,150.327,149.197,148.022,146.849,145.714,144.654,143.708,142.702,141.671,140.703,139.737,138.779,137.757,136.769,135.914,135.006,134.046,133.115
33.711,32.901,32.135,31.614,31.406,31.558,32.206,33.202,34.32,35.681,37.213,38.929,40.805,42.871,45.209,48.081,50.681,52.422,54.309,56.478,58.528,60.389,62.113,63.718,65.365,66.869,68.056,69.368,70.9,72.4,73.929,75.596,77.101,78.692,80.433,82.073,83.803,85.909,88.514,91.43,94.521,97.805,101.228,104.546,108.161,111.942,115.649,119.665,123.668,127.191,130.627,133.305,135.301,138.392,142.968,148.421,153.297,156.922,159.861,162.956,166.697,170.701,174.148,176.697,178.735,180.666,182.412,184.203,186.083,186.769,186.877,187.39,187.187,186.743,187.054,187.09,187.296,188.548,190.298,192.346,193.555,194.702,196.731,198.726,198.5,195.656,190.679,184.629,180.572,179.165,179.41,180.31,181.082,181.399,181.454,181.413,181.6,181.951,182.227,182.365,182.488,182.433,182.177,181.783,181.088,180.179,179.05,177.611,176.1,174.638,173.206,171.883,170.652,169.486,168.348,167.369,166.509,165.554,164.662,163.844,162.989,162.089,161.162,160.257,159.337,158.314,157.347,156.552,155.745,154.855,154.006,153.227,152.319,151.29,150.228,149.101,147.925,146.754,145.622,144.565,143.62,142.612,141.578,140.611,139.645,138.69,137.67,136.684,135.831,134.925,133.964
33.56,33.428,32.628,31.855,31.337,31.14,31.296,31.942,32.92,34.057,35.471,37.028,38.749,40.618,42.677,45.007,47.845,50.404,52.108,53.94,56.056,58.031,59.831,61.52,63.207,64.927,66.271,67.456,68.9,70.444,71.953,73.481,74.963,76.404,78.168,79.971,81.575,83.266,85.378,87.983,90.906,93.928,97.183,100.631,103.91,107.469,111.179,114.865,118.915,122.891,126.227,129.573,132.325,134.359,137.508,142.113,147.601,152.547,156.17,159.091,162.232,166.045,170.076,173.502,175.988,177.927,179.923,181.714,183.333,185.103,186.035,186.351,186.961,186.906,186.487,186.826,186.866,187.075,188.327,190.08,192.13,193.341,194.492,196.522,198.519,198.299,195.454,190.48,184.438,180.384,178.976,179.226,180.127,180.903,181.222,181.28,181.239,181.422,181.772,182.055,182.194,182.318,182.269,182.017,181.62,180.921,180.014,178.892,177.454,175.941,174.478,173.044,171.724,170.5,169.337,168.196,167.22,166.365,165.416,164.525,163.703,162.851,161.956,161.028,160.121,159.205,158.191,157.232,156.436,155.625,154.736,153.888,153.108,152.2,151.174,150.115,148.988,147.813,146.644,145.517,144.46,143.513,142.501,141.469,140.503,139.54,138.587,137.569,136.585,135.733,134.827
32.737,33.263,33.133,32.324,31.552,31.047,30.855,31.012,31.64,32.639,33.834,35.273,36.836,38.551,40.411,42.463,44.76,47.553,50.068,51.709,53.482,55.508,57.407,59.166,60.934,62.694,64.248,65.587,66.901,68.355,69.912,71.421,72.778,74.22,75.844,77.673,79.439,81.002,82.701,84.814,87.431,90.282,93.272,96.552,99.933,103.126,106.602,110.286,114.01,118.029,121.787,125.018,128.448,131.244,133.346,136.532,141.18,146.75,151.691,155.293,158.271,161.498,165.34,169.346,172.702,175.075,177.089,179.134,180.72,182.214,184.267,185.437,185.87,186.654,186.629,186.242,186.584,186.628,186.838,188.094,189.849,191.899,193.114,194.267,196.3,198.302,198.078,195.234,190.269,184.23,180.179,178.776,179.028,179.934,180.712,181.032,181.089,181.044,181.226,181.584,181.869,182.01,182.139,182.094,181.838,181.437,180.741,179.84,178.72,177.28,175.766,174.302,172.869,171.557,170.337,169.171,168.032,167.063,166.213,165.265,164.369,163.55,162.704,161.808,160.878,159.976,159.071,158.065,157.105,156.303,155.494,154.606,153.756,152.977,152.072,151.049,149.989,148.862,147.691,146.528,145.401,144.341,143.391,142.38,141.349,140.386,139.426,138.475,137.46,136.477,135.625
