Sex,year,age,px,fx
Female,2021,14,0.99945336,0
Female,2021,15,0.99939723,0
Female,2021,16,0.99937092,0.000849
Female,2021,17,0.99936524,0.00628
Female,2021,18,0.99936723,0.018701
Female,2021,19,0.99936324,0.044967
Female,2021,20,0.99933986,0.085026
Female,2021,21,0.99929386,0.118346
Female,2021,22,0.99923067,0.1422
Female,2021,23,0.99913501,0.156626
Female,2021,24,0.99900687,0.162096
Female,2021,25,0.99887813,0.16037
Female,2021,26,0.99877319,0.153076
Female,2021,27,0.99870545,0.142493
Female,2021,28,0.9986685,0.129609
Female,2021,29,0.99864039,0.116213
Female,2021,30,0.99860922,0.103053
Female,2021,31,0.99856618,0.089565
Female,2021,32,0.99850664,0.076235
Female,2021,33,0.99842706,0.063517
Female,2021,34,0.99832751,0.051718
Female,2021,35,0.99820872,0.041189
Female,2021,36,0.99807081,0.0332
Female,2021,37,0.99791287,0.026411
Female,2021,38,0.99772937,0.020769
Female,2021,39,0.99751355,0.016679
Female,2021,40,0.99726138,0.014629
Female,2021,41,0.99697084,0.011861
Female,2021,42,0.99664802,0.00899
Female,2021,43,0.99630616,0.006472
Female,2021,44,0.99595776,0.004403
Female,2021,45,0.99561549,0.002336
Female,2021,46,0.99528512,0.00132
Female,2021,47,0.99493677,0.000803
Female,2021,48,0.99449117,0.00072
Female,2021,49,0.99388763,0.000667
Female,2021,50,0.9931001,0
Female,2021,51,0.99209398,0
Female,2021,52,0.99088703,0
Female,2021,53,0.98949872,0
Female,2021,54,0.98795704,0
Female,2021,55,0.98636247,0
Female,2021,56,0.98485736,0
Female,2021,57,0.98347229,0
Female,2021,58,0.98217983,0
Female,2021,59,0.98091055,0
Female,2021,60,0.97954428,0
Female,2021,61,0.97794615,0
Female,2021,62,0.97605536,0
Female,2021,63,0.9738031,0
Female,2021,64,0.97118109,0
Female,2021,65,0.9682681,0
Female,2021,66,0.96515256,0
Female,2021,67,0.96189469,0
Female,2021,68,0.95844275,0
Female,2021,69,0.95472764,0
Female,2021,70,0.95075472,0
Female,2021,71,0.946522,0
Female,2021,72,0.94203089,0
Female,2021,73,0.93723975,0
Female,2021,74,0.93208925,0
Female,2021,75,0.92655633,0
Female,2021,76,0.92061565,0
Female,2021,77,0.91428205,0
Female,2021,78,0.90763839,0
Female,2021,79,0.90076858,0
Female,2021,80,0.89377053,0
Female,2021,81,0.88677976,0
Female,2021,82,0.87980552,0
Female,2021,83,0.87277482,0
Female,2021,84,0.86543779,0
Female,2021,85,0.8572758,0
Female,2021,86,0.84769323,0
Female,2021,87,0.83626612,0
Female,2021,88,0.82212713,0
Female,2021,89,0.8050645,0
Female,2021,90,0.78613905,0
Female,2021,91,0.76652189,0
Female,2021,92,0.74716185,0
Female,2021,93,0.72747896,0
Female,2021,94,0.70626807,0
Female,2021,95,0.67911957,0
Female,2021,96,0.65180523,0
Female,2021,97,0.62244437,0
Female,2021,98,0.58862666,0
Female,2021,99,0.54931868,0
Female,2021,100,0,0
Female,2022,0,0.97620077,0
Female,2022,1,0.99668628,0
Female,2022,2,0.9988414,0
Female,2022,3,0.99922641,0
Female,2022,4,0.99930921,0
Female,2022,5,0.99940428,0
Female,2022,6,0.99950432,0
Female,2022,7,0.99959716,0
Female,2022,8,0.99967062,0
Female,2022,9,0.99971245,0
Female,2022,10,0.99971053,0
Female,2022,11,0.99967918,0
Female,2022,12,0.99962374,0
Female,2022,13,0.99955134,0
Female,2022,14,0.99947737,0
Female,2022,15,0.9994265,0
Female,2022,16,0.99940637,0.00084
Female,2022,17,0.99940659,0.006217
