1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
145.231,149.732,154.575,160.016,166.013,172.29,178.69,184.996,190.84,195.785,212.373,219.151,226.898,235.78,244.763,253.742,263.022,272.54,282.335,291.891,300.916,309.961,318.449,326.199,332.897,338.301,342.281,344.737,346.064,345.864,345.215,344.716,344.384,344.662,346.805,350.344,355.764,362.943,369.037,371.505,378.099,386.123,393.436,400.408,402.3,400.258,399.771,403.608,407.592,412.427,419.211,426.316,432.939,440.098,447.098,447.969,441.785,435.827,437.527,439.105,432.588,427.825,424.245,423.413,421.263,413.764,404.392,398.556,396.305,395.724,390.199,379.491,371.489,369.492
140.364,144.702,149.21,154.053,159.484,165.483,171.759,178.159,184.488,190.315,195.303,211.882,218.667,226.413,235.292,244.275,253.259,262.525,272.045,281.834,291.389,300.416,309.436,317.945,325.704,332.408,337.825,341.798,344.326,345.674,345.494,344.895,344.393,344.093,344.405,346.553,349.903,355.48,362.668,368.793,371.28,377.9,385.851,393.22,400.172,402.097,400.038,399.564,403.408,407.415,412.217,418.998,426.101,432.73,439.883,446.901,447.748,441.108,435.013,436.53,438.331,431.99,427.072,423.368,422.419,420.228,413.092,404.464,399.193,397.05,396.3,390.474,379.711,371.701
136.63,139.85,144.192,148.697,153.528,158.962,164.959,171.234,177.653,183.959,189.828,194.829,211.396,218.179,225.922,234.8,243.786,252.754,262.023,271.534,281.32,290.875,299.872,308.914,317.432,325.194,331.907,337.311,341.36,343.904,345.27,345.144,344.54,344.075,343.812,344.131,346.096,349.59,355.179,362.398,368.538,371.054,377.586,385.6,392.944,399.932,401.834,399.79,399.329,403.201,407.172,411.971,418.751,425.862,432.483,439.658,446.646,447.045,440.265,433.987,435.729,437.705,431.209,426.167,422.344,421.355,419.531,413.179,405.215,400.071,397.73,396.62,390.73,379.961
133.718,136.089,139.315,143.652,148.139,152.974,158.405,164.398,170.689,177.075,183.432,189.313,194.322,210.865,217.645,225.385,234.267,243.231,252.202,261.458,270.964,280.748,290.26,299.282,308.334,316.852,324.62,331.308,336.805,340.864,343.425,344.858,344.722,344.167,343.753,343.496,343.632,345.719,349.228,354.853,362.084,368.256,370.652,377.269,385.246,392.636,399.585,401.504,399.478,399.061,402.888,406.853,411.652,418.445,425.544,432.197,439.335,445.953,446.22,439.273,433.203,435.103,436.938,430.333,425.183,421.327,420.673,419.662,414.218,406.43,401.015,398.184,396.986,391.083
131.064,133.108,135.486,138.705,143.014,147.504,152.335,157.76,163.772,170.014,176.468,182.837,188.726,193.729,210.244,217.021,224.769,233.617,242.587,251.537,260.785,270.288,280.003,289.548,298.583,307.63,316.149,323.873,330.686,336.189,340.264,342.916,344.329,344.262,343.785,343.373,342.924,343.149,345.253,348.806,354.441,361.711,367.698,370.22,376.78,384.819,392.144,399.112,401.057,399.1,398.624,402.436,406.404,411.226,418.002,425.15,431.752,438.616,445.11,445.218,438.463,432.542,434.314,436.049,429.345,424.168,420.625,420.879,421.192,416.005,407.823,401.703,398.747,397.522
128.369,130.347,132.399,134.765,137.945,142.258,146.742,151.565,157.013,162.953,169.291,175.761,182.137,188.014,193.007,209.493,216.282,223.983,232.839,241.779,250.716,259.958,269.36,279.121,288.68,297.704,306.744,315.195,323.093,329.904,335.425,339.623,342.244,343.751,343.801,343.32,342.694,342.289,342.529,344.688,348.247,353.93,360.926,367.085,369.524,376.168,384.106,391.458,398.458,400.498,398.459,397.959,401.779,405.786,410.593,417.443,424.522,430.928,437.666,443.993,444.29,437.682,431.64,433.311,434.944,428.219,423.364,420.926,423.088,423.769,418.015,408.835,402.539,399.534
126.243,127.518,129.504,131.536,133.85,137.04,141.343,145.815,150.669,156.018,162.087,168.447,174.924,181.281,187.14,192.121,208.601,215.329,223.043,231.857,240.778,249.705,258.806,268.27,278.046,287.585,296.595,305.536,314.221,322.109,328.94,334.623,338.773,341.52,343.193,343.228,342.5,341.864,341.467,341.772,343.929,347.544,352.845,360.066,366.096,368.648,375.147,383.121,390.516,397.641,399.558,397.48,397.004,400.887,404.888,409.806,416.571,423.539,429.814,436.375,442.889,443.326,436.594,430.457,432.024,433.634,427.253,423.754,423.944,426.612,426.51,419.41,409.985,403.615
123.214,125.242,126.525,128.484,130.449,132.778,135.958,140.246,144.753,149.48,154.996,161.091,167.461,173.913,180.243,186.084,191.09,207.465,214.211,221.874,230.661,239.568,248.31,257.487,266.968,276.714,286.23,295.108,304.349,313.015,320.924,327.959,333.576,337.884,340.852,342.494,342.241,341.442,340.802,340.478,340.769,342.983,346.096,351.682,358.722,364.878,367.249,373.801,381.828,389.385,396.328,398.173,396.139,395.769,399.663,403.822,408.641,415.399,422.235,428.327,435.074,441.715,442.011,435.185,428.96,430.51,432.47,427.712,427.625,428.478,430.133,428.309,420.878,411.352
119.458,122.06,124.091,125.345,127.22,129.203,131.523,134.689,139.018,143.371,148.302,153.852,159.96,166.298,172.716,179.022,184.89,189.801,206.172,212.858,220.487,229.253,237.929,246.763,255.961,265.4,275.113,284.463,293.705,302.918,311.603,319.757,326.706,332.509,337.097,340.011,341.321,340.936,340.12,339.556,339.205,339.553,341.145,344.602,349.964,357.147,363.07,365.53,372.148,380.366,387.685,394.506,396.399,394.516,394.199,398.294,402.343,407.256,413.884,420.529,426.813,433.685,440.162,440.348,433.439,427.217,429.139,432.975,432.41,433.144,432.759,432.326,430.072,422.512
115.564,118.159,120.758,122.749,123.909,125.807,127.781,130.089,133.308,137.457,142.052,147.023,152.59,158.662,164.96,171.349,177.686,183.439,188.381,204.653,211.299,218.903,227.396,236.177,245.032,254.177,263.572,273.087,282.857,292.06,301.291,310.258,318.305,325.463,331.6,336.104,338.652,339.772,339.36,338.623,338.024,337.73,337.352,339.339,342.541,348.084,355.004,361.027,363.575,370.415,378.341,385.498,392.352,394.411,392.622,392.55,396.524,400.73,405.516,411.944,418.802,425.227,431.918,438.261,438.345,431.445,425.645,429.71,438.428,438.825,438.115,435.306,434.349,431.945
