"age","year","Sex","fx","px"
2,1989,"Female",0,0.99432633
2,1990,"Female",0,0.9945863
2,1991,"Female",0,0.9950164
2,1992,"Female",0,0.99524419
2,1993,"Female",0,0.99550274
2,1994,"Female",0,0.99580999
2,1995,"Female",0,0.99605224
2,1996,"Female",0,0.99629361
2,1997,"Female",0,0.99649763
2,1998,"Female",0,0.99660588
2,1999,"Female",0,0.99685688
2,2000,"Female",0,0.99701537
2,2001,"Female",0,0.99716808
2,2002,"Female",0,0.99731665
2,2003,"Female",0,0.99745861
2,2004,"Female",0,0.9975894
2,2005,"Female",0,0.99748041
2,2006,"Female",0,0.99782706
2,2007,"Female",0,0.99793368
2,2008,"Female",0,0.99802637
2,2009,"Female",0,0.99813515
2,2010,"Female",0,0.99820632
2,2011,"Female",0,0.99830753
2,2012,"Female",0,0.99840016
2,2013,"Female",0,0.99847697
2,2014,"Female",0,0.99854797
2,2015,"Female",0,0.99858625
2,2016,"Female",0,0.99867433
2,2017,"Female",0,0.99873003
2,2018,"Female",0,0.99875301
2,2019,"Female",0,0.99883099
2,2020,"Female",0,0.99888577
2,2021,"Female",0,0.99892222
2,2022,"Female",0,0.99896349
2,2023,"Female",0,0.99899813
3,1950,"Female",0,0.96953534
3,1951,"Female",0,0.97026788
3,1952,"Female",0,0.97113252
3,1953,"Female",0,0.97200155
3,1954,"Female",0,0.97288907
3,1955,"Female",0,0.97380551
3,1956,"Female",0,0.97475433
3,1957,"Female",0,0.97572549
3,1958,"Female",0,0.97729465
3,1959,"Female",0,0.97880793
3,1960,"Female",0,0.98017422
3,1961,"Female",0,0.98064677
3,1962,"Female",0,0.98107068
3,1963,"Female",0,0.98158672
3,1964,"Female",0,0.98197795
3,1965,"Female",0,0.98232187
3,1966,"Female",0,0.98258028
3,1967,"Female",0,0.98320161
3,1968,"Female",0,0.98384467
3,1969,"Female",0,0.984472
3,1970,"Female",0,0.98532681
3,1971,"Female",0,0.9865674
3,1972,"Female",0,0.98742164
3,1973,"Female",0,0.98835138
3,1974,"Female",0,0.98870265
3,1975,"Female",0,0.98906775
3,1976,"Female",0,0.98585697
3,1977,"Female",0,0.99072837
3,1978,"Female",0,0.99153409
3,1979,"Female",0,0.99204678
3,1980,"Female",0,0.99214543
3,1981,"Female",0,0.99264261
3,1982,"Female",0,0.989541
3,1983,"Female",0,0.99328378
3,1984,"Female",0,0.99380807
3,1985,"Female",0,0.99433773
3,1986,"Female",0,0.99469971
3,1987,"Female",0,0.99506739
3,1988,"Female",0,0.99545201
3,1989,"Female",0,0.99560066
3,1990,"Female",0,0.99571992
3,1991,"Female",0,0.99606111
3,1992,"Female",0,0.99646168
3,1993,"Female",0,0.99671717
3,1994,"Female",0,0.99688839
3,1995,"Female",0,0.99705811
3,1996,"Female",0,0.99724138
3,1997,"Female",0,0.9974436
3,1998,"Female",0,0.99756273
3,1999,"Female",0,0.99778812
3,2000,"Female",0,0.99793888
3,2001,"Female",0,0.9980442
3,2002,"Female",0,0.99815842
3,2003,"Female",0,0.99826332
3,2004,"Female",0,0.99836238
3,2005,"Female",0,0.99823919
3,2006,"Female",0,0.99852691
3,2007,"Female",0,0.99860939
3,2008,"Female",0,0.99865375
3,2009,"Female",0,0.99872627
3,2010,"Female",0,0.99879073
3,2011,"Female",0,0.998887
3,2012,"Female",0,0.99893929
3,2013,"Female",0,0.99896496
3,2014,"Female",0,0.99900139
3,2015,"Female",0,0.99902309
3,2016,"Female",0,0.99907326
3,2017,"Female",0,0.99908258
3,2018,"Female",0,0.99910369
3,2019,"Female",0,0.99914953
3,2020,"Female",0,0.99925476
3,2021,"Female",0,0.99926624
3,2022,"Female",0,0.99925333
3,2023,"Female",0,0.99928078
4,1950,"Female",0,0.97193047
4,1951,"Female",0,0.97270931
4,1952,"Female",0,0.9738659
4,1953,"Female",0,0.9749913
4,1954,"Female",0,0.97609352
4,1955,"Female",0,0.97717864
4,1956,"Female",0,0.97824943
4,1957,"Female",0,0.97929918
4,1958,"Female",0,0.98130115
4,1959,"Female",0,0.98316654
4,1960,"Female",0,0.98477858
4,1961,"Female",0,0.98490332
4,1962,"Female",0,0.9849605
4,1963,"Female",0,0.98518632
4,1964,"Female",0,0.98515471
4,1965,"Female",0,0.98506232
4,1966,"Female",0,0.98498786
4,1967,"Female",0,0.98537774
4,1968,"Female",0,0.9856506
4,1969,"Female",0,0.98614282
4,1970,"Female",0,0.98696874
4,1971,"Female",0,0.98863543
4,1972,"Female",0,0.98955636
4,1973,"Female",0,0.99063733
4,1974,"Female",0,0.9906706
4,1975,"Female",0,0.99071631
4,1976,"Female",0,0.98740683
4,1977,"Female",0,0.99252335
4,1978,"Female",0,0.99350387
4,1979,"Female",0,0.99399884
4,1980,"Female",0,0.99389964
4,1981,"Female",0,0.99421415
4,1982,"Female",0,0.99148789
4,1983,"Female",0,0.99454195
4,1984,"Female",0,0.99506893
4,1985,"Female",0,0.9956272
4,1986,"Female",0,0.99591631
4,1987,"Female",0,0.9962365
4,1988,"Female",0,0.99657632
4,1989,"Female",0,0.99654074
4,1990,"Female",0,0.99657896
4,1991,"Female",0,0.99684941
4,1992,"Female",0,0.99733522
4,1993,"Female",0,0.99756836
4,1994,"Female",0,0.99765977
4,1995,"Female",0,0.99777967
4,1996,"Female",0,0.99792021
4,1997,"Female",0,0.99810622
4,1998,"Female",0,0.99821412
4,1999,"Female",0,0.99841409
4,2000,"Female",0,0.99854655
4,2001,"Female",0,0.99861974
4,2002,"Female",0,0.99870783
4,2003,"Female",0,0.9987862
4,2004,"Female",0,0.99886129
4,2005,"Female",0,0.99871881
4,2006,"Female",0,0.99897612
4,2007,"Female",0,0.99903947
4,2008,"Female",0,0.99905761
4,2009,"Female",0,0.99910769
4,2010,"Female",0,0.99915706
4,2011,"Female",0,0.99924256
4,2012,"Female",0,0.99927327
4,2013,"Female",0,0.99927666
4,2014,"Female",0,0.99929471
4,2015,"Female",0,0.99930327
4,2016,"Female",0,0.99933569
4,2017,"Female",0,0.99932404
4,2018,"Female",0,0.99933608
4,2019,"Female",0,0.99936868
4,2020,"Female",0,0.99948384
4,2021,"Female",0,0.99948339
4,2022,"Female",0,0.99945055
4,2023,"Female",0,0.99947235
5,1950,"Female",0,0.97504508
5,1951,"Female",0,0.97584824
5,1952,"Female",0,0.97711481
5,1953,"Female",0,0.97832782
5,1954,"Female",0,0.97949035
5,1955,"Female",0,0.98060676
5,1956,"Female",0,0.98167967
5,1957,"Female",0,0.982706
5,1958,"Female",0,0.9847984
5,1959,"Female",0,0.98671981
5,1960,"Female",0,0.98834531
5,1961,"Female",0,0.98827798
5,1962,"Female",0,0.98812989
5,1963,"Female",0,0.98818316
5,1964,"Female",0,0.98791176
5,1965,"Female",0,0.98759326
5,1966,"Female",0,0.98734239
5,1967,"Female",0,0.9875673
5,1968,"Female",0,0.98758294
5,1969,"Female",0,0.98793506
5,1970,"Female",0,0.98869007
5,1971,"Female",0,0.99049951
5,1972,"Female",0,0.99140691
5,1973,"Female",0,0.99251239
5,1974,"Female",0,0.99235908
5,1975,"Female",0,0.99217281
5,1976,"Female",0,0.98877174
5,1977,"Female",0,0.99393126
5,1978,"Female",0,0.99500133
5,1979,"Female",0,0.9954606
5,1980,"Female",0,0.99527492
5,1981,"Female",0,0.99546605
5,1982,"Female",0,0.99305575
5,1983,"Female",0,0.99558608
5,1984,"Female",0,0.9960747
5,1985,"Female",0,0.99660839
5,1986,"Female",0,0.99683672
5,1987,"Female",0,0.99710811
5,1988,"Female",0,0.99739928
5,1989,"Female",0,0.99724927
5,1990,"Female",0,0.99724244
5,1991,"Female",0,0.99745627
5,1992,"Female",0,0.99797102
5,1993,"Female",0,0.99817512
5,1994,"Female",0,0.99821926
5,1995,"Female",0,0.99830441
5,1996,"Female",0,0.99841283
5,1997,"Female",0,0.99857829
5,1998,"Female",0,0.99866987
5,1999,"Female",0,0.99884664
5,2000,"Female",0,0.99896021
5,2001,"Female",0,0.99901096
5,2002,"Female",0,0.99907975
5,2003,"Female",0,0.99913896
5,2004,"Female",0,0.99919605
5,2005,"Female",0,0.99903953
5,2006,"Female",0,0.99927618
5,2007,"Female",0,0.99932524
5,2008,"Female",0,0.99932873
5,2009,"Female",0,0.99936375
5,2010,"Female",0,0.9993986
5,2011,"Female",0,0.99947306
5,2012,"Female",0,0.99949074
5,2013,"Female",0,0.99948348
5,2014,"Female",0,0.99949102
5,2015,"Female",0,0.9994902
5,2016,"Female",0,0.99951356
5,2017,"Female",0,0.99949266
5,2018,"Female",0,0.99949407
5,2019,"Female",0,0.99952187
5,2020,"Female",0,0.99962273
5,2021,"Female",0,0.99961688
5,2022,"Female",0,0.99958189
5,2023,"Female",0,0.99960485
6,1950,"Female",0,0.97865302
6,1951,"Female",0,0.97946048
6,1952,"Female",0,0.98068105
6,1953,"Female",0,0.98183986
6,1954,"Female",0,0.98293569
6,1955,"Female",0,0.98397293
6,1956,"Female",0,0.98495381
6,1957,"Female",0,0.98587862
6,1958,"Female",0,0.98781358
6,1959,"Female",0,0.9895805
6,1960,"Female",0,0.99105589
6,1961,"Female",0,0.99091025
6,1962,"Female",0,0.99067477
6,1963,"Female",0,0.99064258
6,1964,"Female",0,0.99027588
6,1965,"Female",0,0.98989405
6,1966,"Female",0,0.98958709
6,1967,"Female",0,0.98970454
6,1968,"Female",0,0.98956512
6,1969,"Female",0,0.98978129
6,1970,"Female",0,0.99043377
6,1971,"Female",0,0.99216189
6,1972,"Female",0,0.99299585
6,1973,"Female",0,0.99402932
6,1974,"Female",0,0.99379183
6,1975,"Female",0,0.99344671
6,1976,"Female",0,0.98996338
6,1977,"Female",0,0.99502655
6,1978,"Female",0,0.99611939
6,1979,"Female",0,0.99653257
6,1980,"Female",0,0.99633372
6,1981,"Female",0,0.99644708
6,1982,"Female",0,0.99431848
6,1983,"Female",0,0.99644231
6,1984,"Female",0,0.99686668
6,1985,"Female",0,0.9973397
6,1986,"Female",0,0.99751816
6,1987,"Female",0,0.99774276
6,1988,"Female",0,0.99798545
6,1989,"Female",0,0.99777415
6,1990,"Female",0,0.99774721
6,1991,"Female",0,0.99791644
6,1992,"Female",0,0.99841974
6,1993,"Female",0,0.99859235
6,1994,"Female",0,0.99861244
6,1995,"Female",0,0.99867411
6,1996,"Female",0,0.99875904
6,1997,"Female",0,0.99890281
6,1998,"Female",0,0.99897737
6,1999,"Female",0,0.99913356
6,2000,"Female",0,0.99922971
6,2001,"Female",0,0.99926532
6,2002,"Female",0,0.99932051
6,2003,"Female",0,0.99936638
6,2004,"Female",0,0.99941026
6,2005,"Female",0,0.99924558
6,2006,"Female",0,0.99946684
6,2007,"Female",0,0.99950576
6,2008,"Female",0,0.99950225
6,2009,"Female",0,0.99952745
6,2010,"Female",0,0.99954956
6,2011,"Female",0,0.99961378
6,2012,"Female",0,0.99962404
6,2013,"Female",0,0.99961304
6,2014,"Female",0,0.99961515
6,2015,"Female",0,0.99960781
6,2016,"Female",0,0.99962772
6,2017,"Female",0,0.99960497
6,2018,"Female",0,0.99959519
6,2019,"Female",0,0.99962369
6,2020,"Female",0,0.99970348
6,2021,"Female",0,0.99969515
6,2022,"Female",0,0.99966651
6,2023,"Female",0,0.99969172
7,1950,"Female",0,0.98242327
7,1951,"Female",0,0.98320631
7,1952,"Female",0,0.98427502
7,1953,"Female",0,0.98528433
7,1954,"Female",0,0.98622969
7,1955,"Female",0,0.98711633
7,1956,"Female",0,0.98794604
7,1957,"Female",0,0.98872178
7,1958,"Female",0,0.99034311
7,1959,"Female",0,0.99182426
7,1960,"Female",0,0.99305023
7,1961,"Female",0,0.99290663
7,1962,"Female",0,0.99266824
7,1963,"Female",0,0.99261325
7,1964,"Female",0,0.99225501
7,1965,"Female",0,0.99192083
7,1966,"Female",0,0.99164217
7,1967,"Female",0,0.99169648
7,1968,"Female",0,0.99148176
7,1969,"Female",0,0.99157575
7,1970,"Female",0,0.99210912
7,1971,"Female",0,0.99360721
7,1972,"Female",0,0.99432998
7,1973,"Female",0,0.99522819
7,1974,"Female",0,0.99498106
7,1975,"Female",0,0.99453714
7,1976,"Female",0,0.99098299
7,1977,"Female",0,0.99585911
7,1978,"Female",0,0.99692448
7,1979,"Female",0,0.99728702
7,1980,"Female",0,0.9971239
7,1981,"Female",0,0.99719363
7,1982,"Female",0,0.99534198
7,1983,"Female",0,0.99712845
7,1984,"Female",0,0.99747485
7,1985,"Female",0,0.99786588
7,1986,"Female",0,0.99800427
7,1987,"Female",0,0.99818571
7,1988,"Female",0,0.99838201
7,1989,"Female",0,0.99814942
7,1990,"Female",0,0.99812004
7,1991,"Female",0,0.99825456
7,1992,"Female",0,0.99871792
7,1993,"Female",0,0.99885881
7,1994,"Female",0,0.9988723
7,1995,"Female",0,0.99891909
7,1996,"Female",0,0.99898758
7,1997,"Female",0,0.99911004
7,1998,"Female",0,0.9991693
7,1999,"Female",0,0.99930676
7,2000,"Female",0,0.99938737
7,2001,"Female",0,0.99941353
7,2002,"Female",0,0.99945962
7,2003,"Female",0,0.99949684
7,2004,"Female",0,0.99953124
7,2005,"Female",0,0.99936576
7,2006,"Female",0,0.99957276
7,2007,"Female",0,0.99960494
7,2008,"Female",0,0.99959998
7,2009,"Female",0,0.99961918
7,2010,"Female",0,0.9996303
7,2011,"Female",0,0.99968525
7,2012,"Female",0,0.99969203
7,2013,"Female",0,0.99968216
7,2014,"Female",0,0.9996824
7,2015,"Female",0,0.99967075
7,2016,"Female",0,0.99969121
7,2017,"Female",0,0.99967192
7,2018,"Female",0,0.99965086
7,2019,"Female",0,0.99968385
7,2020,"Female",0,0.9997461
7,2021,"Female",0,0.9997363
7,2022,"Female",0,0.99971802
7,2023,"Female",0,0.99974165
8,1950,"Female",0,0.98602482
8,1951,"Female",0,0.98674599
8,1952,"Female",0,0.9876071
8,1953,"Female",0,0.98841814
8,1954,"Female",0,0.98917247
8,1955,"Female",0,0.98987619
8,1956,"Female",0,0.99053056
8,1957,"Female",0,0.99114019
8,1958,"Female",0,0.9923834
8,1959,"Female",0,0.99352672
8,1960,"Female",0,0.99446823
8,1961,"Female",0,0.99437366
8,1962,"Female",0,0.99418338
8,1963,"Female",0,0.99414387
8,1964,"Female",0,0.99385708
8,1965,"Female",0,0.99362975
8,1966,"Female",0,0.99342796
8,1967,"Female",0,0.99345028
8,1968,"Female",0,0.99321755
8,1969,"Female",0,0.99321342
8,1970,"Female",0,0.9936254
8,1971,"Female",0,0.99482005
8,1972,"Female",0,0.99541602
8,1973,"Female",0,0.99614911
8,1974,"Female",0,0.995939
8,1975,"Female",0,0.99544325
8,1976,"Female",0,0.991872
8,1977,"Female",0,0.99647886
8,1978,"Female",0,0.99748305
8,1979,"Female",0,0.99779634
8,1980,"Female",0,0.99769355
8,1981,"Female",0,0.99774196
8,1982,"Female",0,0.99619126
8,1983,"Female",0,0.99766224
8,1984,"Female",0,0.9979291
8,1985,"Female",0,0.99823169
8,1986,"Female",0,0.99833865
8,1987,"Female",0,0.99848217
8,1988,"Female",0,0.99863614
8,1989,"Female",0,0.99840912
8,1990,"Female",0,0.9983883
8,1991,"Female",0,0.99849532
8,1992,"Female",0,0.99890282
8,1993,"Female",0,0.99901419
8,1994,"Female",0,0.99903191
8,1995,"Female",0,0.99906982
8,1996,"Female",0,0.99912724
8,1997,"Female",0,0.99923024
8,1998,"Female",0,0.99927809
8,1999,"Female",0,0.99939811
8,2000,"Female",0,0.99946549
8,2001,"Female",0,0.99948623
8,2002,"Female",0,0.99952666
8,2003,"Female",0,0.99955873
8,2004,"Female",0,0.99958632
8,2005,"Female",0,0.99942937
8,2006,"Female",0,0.99961855
8,2007,"Female",0,0.99964667
8,2008,"Female",0,0.99964355
8,2009,"Female",0,0.99965933
8,2010,"Female",0,0.99966129
8,2011,"Female",0,0.99970787
8,2012,"Female",0,0.99971361
8,2013,"Female",0,0.99970766
8,2014,"Female",0,0.9997081
8,2015,"Female",0,0.9996937
8,2016,"Female",0,0.99971707
8,2017,"Female",0,0.99970444
8,2018,"Female",0,0.99967283
8,2019,"Female",0,0.99971205
8,2020,"Female",0,0.99976299
8,2021,"Female",0,0.99975165
8,2022,"Female",0,0.99974581
8,2023,"Female",0,0.99976332
9,1950,"Female",0,0.98912665
9,1951,"Female",0,0.98973981
9,1952,"Female",0,0.99038769
9,1953,"Female",0,0.99099821
9,1954,"Female",0,0.99156415
9,1955,"Female",0,0.99209171
9,1956,"Female",0,0.99258157
9,1957,"Female",0,0.9930386
9,1958,"Female",0,0.99393085
9,1959,"Female",0,0.99476352
9,1960,"Female",0,0.9954498
9,1961,"Female",0,0.99541784
9,1962,"Female",0,0.99529329
9,1963,"Female",0,0.99528311
9,1964,"Female",0,0.99509004
9,1965,"Female",0,0.99497694
9,1966,"Female",0,0.99486266
9,1967,"Female",0,0.99487118
9,1968,"Female",0,0.99465704
9,1969,"Female",0,0.99458699
9,1970,"Female",0,0.99489185
9,1971,"Female",0,0.99578499
9,1972,"Female",0,0.99626071
9,1973,"Female",0,0.99683217
9,1974,"Female",0,0.99667786
9,1975,"Female",0,0.99616403
9,1976,"Female",0,0.99264914
9,1977,"Female",0,0.99693553
9,1978,"Female",0,0.9978615
9,1979,"Female",0,0.9981321
9,1980,"Female",0,0.99808874
9,1981,"Female",0,0.99812834
9,1982,"Female",0,0.99688045
9,1983,"Female",0,0.99806144
9,1984,"Female",0,0.99825937
9,1985,"Female",0,0.99848187
9,1986,"Female",0,0.99856492
9,1987,"Female",0,0.99867709
9,1988,"Female",0,0.99879503
9,1989,"Female",0,0.99858728
9,1990,"Female",0,0.99857858
9,1991,"Female",0,0.99866337
9,1992,"Female",0,0.99901182
9,1993,"Female",0,0.9990983
9,1994,"Female",0,0.99912413
9,1995,"Female",0,0.99915659
9,1996,"Female",0,0.99920678
9,1997,"Female",0,0.99929367
9,1998,"Female",0,0.99933487
9,1999,"Female",0,0.99943945
9,2000,"Female",0,0.99949626
9,2001,"Female",0,0.99951398
9,2002,"Female",0,0.99955113
9,2003,"Female",0,0.99958045
9,2004,"Female",0,0.9996028
9,2005,"Female",0,0.99946136
9,2006,"Female",0,0.99962885
9,2007,"Female",0,0.99965485
9,2008,"Female",0,0.99965446
9,2009,"Female",0,0.99966831
9,2010,"Female",0,0.99966251
9,2011,"Female",0,0.99970188
9,2012,"Female",0,0.99970766
9,2013,"Female",0,0.99970637
9,2014,"Female",0,0.99970754
9,2015,"Female",0,0.99969114
9,2016,"Female",0,0.99971835
9,2017,"Female",0,0.99971347
9,2018,"Female",0,0.99967263
9,2019,"Female",0,0.999718
9,2020,"Female",0,0.99976018
9,2021,"Female",0,0.99974655
9,2022,"Female",0,0.99975491
9,2023,"Female",0,0.99976539
10,1950,"Female",0,0.99140031
10,1951,"Female",0,0.99185084
10,1952,"Female",0,0.99232941
10,1953,"Female",0,0.99278322
10,1954,"Female",0,0.99320624
10,1955,"Female",0,0.99360317
10,1956,"Female",0,0.99397408
10,1957,"Female",0,0.9943224
10,1958,"Female",0,0.99498263
10,1959,"Female",0,0.99561122
10,1960,"Female",0,0.99613585
10,1961,"Female",0,0.99614652
10,1962,"Female",0,0.99607163
10,1963,"Female",0,0.99608007
10,1964,"Female",0,0.99596229
10,1965,"Female",0,0.99591911
10,1966,"Female",0,0.99586385
10,1967,"Female",0,0.99586401
10,1968,"Female",0,0.99568566
10,1969,"Female",0,0.99558813
10,1970,"Female",0,0.99581859
10,1971,"Female",0,0.99648709
10,1972,"Female",0,0.99687123
10,1973,"Female",0,0.99731775
10,1974,"Female",0,0.99721015
10,1975,"Female",0,0.99669852
10,1976,"Female",0,0.99328169
10,1977,"Female",0,0.9972793
10,1978,"Female",0,0.99812694
10,1979,"Female",0,0.99836605
10,1980,"Female",0,0.99835465
10,1981,"Female",0,0.99838945
10,1982,"Female",0,0.99739962
10,1983,"Female",0,0.99834406
10,1984,"Female",0,0.99849589
10,1985,"Female",0,0.99866155
10,1986,"Female",0,0.99872703
10,1987,"Female",0,0.99881575
10,1988,"Female",0,0.9989063
10,1989,"Female",0,0.99871825
10,1990,"Female",0,0.99871676
10,1991,"Female",0,0.99878351
10,1992,"Female",0,0.99908196
10,1993,"Female",0,0.99915043
10,1994,"Female",0,0.99918202
10,1995,"Female",0,0.99920981
10,1996,"Female",0,0.99925518
10,1997,"Female",0,0.99933087
10,1998,"Female",0,0.99937063
10,1999,"Female",0,0.99946303
10,2000,"Female",0,0.99951234
10,2001,"Female",0,0.9995278
10,2002,"Female",0,0.99956291
10,2003,"Female",0,0.99959076
10,2004,"Female",0,0.99960841
10,2005,"Female",0,0.9994843
10,2006,"Female",0,0.99962865
10,2007,"Female",0,0.99965369
10,2008,"Female",0,0.99965454
10,2009,"Female",0,0.99966676
10,2010,"Female",0,0.99965395
10,2011,"Female",0,0.99968791
10,2012,"Female",0,0.99969334
10,2013,"Female",0,0.99969537
10,2014,"Female",0,0.99969627
