"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
38.615,39.513,40.77,42.103,43.502,45.083,46.9,48.837,51.311,53.803,55.389,57.214,59.59,61.856,63.974,65.994,67.889,69.718,71.309,72.731,74.35,76.187,78.097,80.138,82.147,83.947,85.724,87.44,89.11,90.826,92.863,95.293,97.822,100.561,103.865,107.465,110.923,114.666,118.463,122.025,125.86,129.537,132.862,136.506,139.555,142.036,145.5,150.125,155.464,160.26,163.878,166.81,169.912,173.603,177.353,180.607,183.172,185.27,187.326,189.184,191.035,193.073,193.978,193.939,194.082,193.526,192.78,193.005,192.974,193.114,194.394,196.273,198.443,199.756,201.127,203.382,205.551,205.468,202.621,197.56,191.413,187.321,185.949,186.289,187.337,188.21,188.55,188.613,188.587,188.791,189.175,189.466,189.591,189.708,189.653,189.399,189.005,188.309,187.389,186.234,184.742,183.171,181.675,180.208,178.834,177.548,176.358,175.199,174.218,173.357,172.368,171.445,170.615,169.751,168.815,167.847,166.917,165.997,164.97,163.964,163.14,162.304,161.388,160.513,159.699,158.779,157.728,156.625,155.453,154.232,153.023,151.862,150.77,149.793,148.75,147.685,146.689,145.687,144.702,143.649,142.628,141.747,140.793,139.789,138.825,137.832,136.853,135.839,134.925,134.102,133.224
37.58,38.298,39.203,40.467,41.806,43.213,44.8,46.621,48.569,51.066,53.58,55.172,56.986,59.352,61.608,63.716,65.724,67.607,69.417,70.979,72.387,74.019,75.883,77.814,79.571,81.21,82.76,84.51,86.389,88.09,89.872,91.943,94.258,96.865,99.856,103.234,106.764,110.161,113.924,117.727,121.306,125.043,128.691,132.071,135.998,139.364,141.835,145.301,149.935,155.278,160.057,163.668,166.613,169.725,173.424,177.168,180.428,183.012,185.113,187.167,189.03,190.893,192.938,193.844,193.798,193.929,193.383,192.649,192.853,192.809,192.98,194.285,196.179,198.372,199.673,201.03,203.286,205.455,205.372,202.528,197.469,191.325,187.235,185.865,186.207,187.256,188.127,188.466,188.531,188.505,188.708,189.094,189.386,189.513,189.631,189.577,189.324,188.927,188.231,187.315,186.161,184.669,183.101,181.607,180.138,178.763,177.48,176.292,175.133,174.15,173.29,172.299,171.376,170.55,169.688,168.751,167.784,166.856,165.938,164.911,163.905,163.081,162.246,161.331,160.456,159.643,158.727,157.68,156.577,155.402,154.182,152.973,151.81,150.72,149.744,148.702,147.637,146.64,145.641,144.658,143.606,142.582,141.7,140.746,139.743,138.78,137.787,136.81,135.796,134.883,134.06
36.789,37.312,38.038,38.947,40.215,41.559,42.97,44.56,46.389,48.353,50.867,53.383,54.968,56.776,59.133,61.381,63.479,65.477,67.343,69.126,70.672,72.088,73.741,75.62,77.272,78.671,80.069,81.585,83.483,85.388,87.155,88.972,90.897,93.266,96.133,99.202,102.506,105.969,109.383,113.153,116.975,120.448,124.15,127.853,131.532,135.793,139.148,141.619,145.095,149.731,155.052,159.821,163.447,166.4,169.521,173.217,176.966,180.244,182.831,184.929,186.989,188.865,190.734,192.78,193.679,193.619,193.762,193.23,192.472,192.659,192.65,192.852,194.175,196.094,198.278,199.569,200.927,203.183,205.351,205.27,202.428,197.372,191.232,187.144,185.777,186.12,187.167,188.038,188.38,188.445,188.418,188.623,189.01,189.304,189.433,189.55,189.496,189.242,188.845,188.154,187.237,186.084,184.596,183.03,181.536,180.065,178.692,177.41,176.224,175.065,174.082,173.22,172.23,171.31,170.486,169.622,168.686,167.721,166.795,165.878,164.851,163.845,163.024,162.189,161.273,160.399,159.59,158.679,157.631,156.525,155.351,154.132,152.923,151.761,150.672,149.696,148.654,147.589,146.594,145.596,144.614,143.56,142.536,141.654,140.701,139.698,138.736,137.745,136.768,135.755,134.841
36.222,36.55,37.078,37.807,38.72,39.992,41.339,42.752,44.346,46.188,48.169,50.685,53.193,54.773,56.575,58.924,61.163,63.252,65.233,67.071,68.835,70.383,71.812,73.473,75.084,76.395,77.56,78.922,80.573,82.491,84.46,86.258,87.88,89.828,92.481,95.434,98.422,101.65,105.131,108.552,112.342,116.046,119.478,123.236,127.257,131.292,135.535,138.888,141.372,144.846,149.448,154.754,159.541,163.175,166.139,169.259,172.962,176.731,180.011,182.594,184.7,186.774,188.659,190.53,192.566,193.446,193.402,193.56,192.997,192.217,192.452,192.486,192.714,194.068,195.981,198.159,199.451,200.81,203.066,205.236,205.156,202.316,197.264,191.127,187.044,185.679,186.022,187.068,187.94,188.282,188.347,188.322,188.529,188.918,189.214,189.343,189.46,189.405,189.151,188.758,188.066,187.152,186.002,184.517,182.95,181.455,179.986,178.615,177.335,176.148,174.989,174.005,173.144,172.157,171.24,170.414,169.552,168.619,167.656,166.732,165.813,164.787,163.784,162.963,162.127,161.212,160.343,159.538,158.625,157.577,156.472,155.299,154.079,152.869,151.709,150.621,149.647,148.604,147.542,146.548,145.55,144.567,143.512,142.488,141.607,140.655,139.654,138.692,137.702,136.727,135.714
35.718,35.999,36.331,36.86,37.59,38.508,39.782,41.13,42.544,44.148,46.01,47.998,50.508,53.005,54.577,56.371,58.711,60.938,63.009,64.96,66.777,68.534,70.085,71.516,72.93,74.226,75.308,76.435,77.921,79.588,81.563,83.556,85.093,86.704,88.978,91.727,94.591,97.497,100.744,104.23,107.674,111.335,114.99,118.481,122.566,126.953,130.963,135.202,138.567,141.048,144.472,149.05,154.376,159.172,162.82,165.786,168.916,172.643,176.412,179.684,182.278,184.405,186.494,188.38,190.237,192.244,193.147,193.121,193.233,192.64,191.931,192.231,192.299,192.569,193.922,195.836,198.015,199.308,200.667,202.924,205.095,205.017,202.18,197.133,191.002,186.923,185.558,185.9,186.949,187.822,188.164,188.231,188.208,188.417,188.808,189.103,189.233,189.351,189.296,189.046,188.654,187.964,187.054,185.906,184.42,182.853,181.36,179.894,178.525,177.245,176.058,174.899,173.917,173.06,172.075,171.156,170.333,169.474,168.543,167.582,166.655,165.739,164.716,163.713,162.891,162.058,161.148,160.282,159.477,158.564,157.515,156.411,155.238,154.018,152.811,151.653,150.565,149.59,148.549,147.489,146.496,145.498,144.514,143.459,142.436,141.555,140.605,139.605,138.645,137.656,136.68
35.237,35.5,35.783,36.115,36.644,37.379,38.3,39.574,40.918,42.343,43.971,45.84,47.828,50.325,52.807,54.373,56.156,58.48,60.688,62.722,64.646,66.443,68.191,69.737,70.953,72.088,73.165,74.21,75.448,76.942,78.658,80.647,82.32,83.829,85.809,88.186,90.845,93.625,96.549,99.8,103.31,106.618,110.225,113.938,117.74,122.172,126.525,130.527,134.78,138.137,140.544,143.933,148.538,153.874,158.685,162.338,165.317,168.478,172.204,175.962,179.249,181.875,184.019,186.107,187.973,189.791,191.827,192.75,192.657,192.73,192.243,191.631,191.976,192.101,192.373,193.732,195.648,197.827,199.12,200.482,202.739,204.911,204.836,202.005,196.964,190.84,186.763,185.399,185.745,186.794,187.667,188.012,188.081,188.06,188.272,188.664,188.962,189.09,189.208,189.158,188.91,188.519,187.834,186.927,185.78,184.293,182.729,181.24,179.778,178.409,177.129,175.942,174.785,173.808,172.953,171.968,171.052,170.232,169.375,168.446,167.484,166.561,165.648,164.625,163.621,162.803,161.975,161.07,160.204,159.398,158.485,157.438,156.334,155.162,153.945,152.739,151.581,150.494,149.522,148.483,147.424,146.43,145.431,144.447,143.394,142.373,141.494,140.544,139.546,138.588,137.599
34.58,35.02,35.283,35.561,35.892,36.428,37.166,38.087,39.352,40.706,42.16,43.801,45.672,47.646,50.126,52.595,54.145,55.912,58.211,60.375,62.374,64.263,66.038,67.775,69.148,70.139,71.067,72.105,73.251,74.493,76.023,77.737,79.344,80.974,82.897,84.987,87.275,89.847,92.646,95.574,98.848,102.216,105.467,109.13,113.124,117.237,121.623,125.963,129.983,134.222,137.474,139.83,143.254,147.87,153.226,158.042,161.71,164.732,167.892,171.6,175.379,178.71,181.359,183.502,185.56,187.371,189.226,191.283,192.113,191.974,192.198,191.846,191.291,191.708,191.836,192.119,193.481,195.397,197.576,198.872,200.236,202.494,204.667,204.596,201.772,196.739,190.621,186.548,185.19,185.537,186.587,187.463,187.81,187.883,187.865,188.079,188.473,188.768,188.899,189.024,188.975,188.73,188.345,187.664,186.756,185.608,184.126,182.567,181.082,179.619,178.251,176.972,175.789,174.638,173.664,172.809,171.827,170.916,170.099,169.245,168.316,167.357,166.438,165.526,164.503,163.503,162.692,161.87,160.964,160.097,159.292,158.381,157.334,156.232,155.063,153.848,152.643,151.486,150.402,149.434,148.398,147.337,146.341,145.343,144.361,143.31,142.291,141.414,140.466,139.47,138.512
33.938,34.361,34.798,35.053,35.328,35.665,36.203,36.942,37.85,39.126,40.517,41.987,43.632,45.487,47.443,49.907,52.353,53.883,55.621,57.868,59.986,61.936,63.788,65.543,67.147,68.344,69.135,70.026,71.156,72.297,73.563,75.076,76.359,77.916,80.002,82.042,84.044,86.246,88.838,91.639,94.588,97.718,101.023,104.331,108.239,112.499,116.554,120.921,125.283,129.285,133.382,136.565,138.965,142.404,147.044,152.405,157.24,160.963,163.981,167.117,170.855,174.691,178.054,180.698,182.799,184.783,186.639,188.515,190.451,191.225,191.292,191.691,191.405,190.941,191.362,191.502,191.788,193.153,195.07,197.251,198.55,199.916,202.177,204.352,204.286,201.471,196.445,190.335,186.273,184.917,185.266,186.319,187.197,187.549,187.627,187.613,187.828,188.22,188.518,188.656,188.782,188.737,188.499,188.119,187.438,186.53,185.387,183.912,182.358,180.874,179.412,178.046,176.771,175.595,174.449,173.475,172.623,171.648,170.742,169.929,169.075,168.149,167.196,166.278,165.365,164.347,163.357,162.554,161.732,160.825,159.959,159.157,158.246,157.201,156.102,154.936,153.723,152.519,151.366,150.286,149.32,148.282,147.22,146.226,145.23,144.25,143.202,142.185,141.312,140.367,139.37
33.236,33.719,34.137,34.559,34.807,35.09,35.43,35.968,36.691,37.612,38.929,40.34,41.816,43.445,45.28,47.22,49.655,52.071,53.568,55.246,57.437,59.486,61.382,63.208,64.868,66.336,67.339,68.097,69.072,70.189,71.339,72.565,73.605,74.847,76.909,79.115,81.069,82.988,85.21,87.805,90.626,93.429,96.493,99.853,103.364,107.489,111.68,115.711,120.105,124.442,128.27,132.279,135.511,137.931,141.399,146.048,151.434,156.333,160.048,163.038,166.214,170.025,173.899,177.25,179.839,181.846,183.883,185.762,187.489,189.359,190.391,190.671,191.143,190.97,190.512,190.946,191.093,191.384,192.75,194.669,196.853,198.155,199.524,201.788,203.966,203.908,201.097,196.079,189.986,185.931,184.581,184.933,185.989,186.875,187.232,187.313,187.301,187.514,187.908,188.215,188.356,188.486,188.45,188.218,187.838,187.156,186.254,185.119,183.65,182.097,180.615,179.156,177.794,176.529,175.359,174.214,173.244,172.4,171.432,170.53,169.716,168.867,167.948,166.996,166.078,165.173,164.167,163.186,162.382,161.559,160.654,159.792,158.989,158.081,157.041,155.946,154.782,153.57,152.371,151.224,150.147,149.178,148.138,147.078,146.087,145.095,144.119,143.074,142.06,141.189,140.244
32.447,33.017,33.493,33.892,34.304,34.559,34.844,35.184,35.703,36.44,37.41,38.751,40.164,41.624,43.234,45.053,46.96,49.358,51.73,53.158,54.772,56.875,58.853,60.717,62.484,64.052,65.333,66.303,67.139,68.093,69.201,70.287,70.999,72.016,73.814,75.999,78.124,79.998,81.941,84.167,86.78,89.455,92.191,95.306,98.825,102.5,106.545,110.706,114.769,119.133,123.267,126.99,131.054,134.307,136.765,140.248,144.929,150.387,155.276,158.96,161.998,165.262,169.117,172.974,176.255,178.731,180.8,182.865,184.57,186.22,188.387,189.661,190.025,190.633,190.47,190.031,190.471,190.624,190.918,192.287,194.209,196.394,197.701,199.075,201.342,203.524,203.466,200.662,195.662,189.582,185.536,184.195,184.553,185.614,186.504,186.864,186.948,186.935,187.151,187.555,187.865,188.011,188.15,188.121,187.888,187.508,186.833,185.939,184.812,183.345,181.794,180.315,178.862,177.512,176.254,175.084,173.944,172.983,172.148,171.185,170.282,169.474,168.633,167.716,166.765,165.854,164.962,163.966,162.987,162.18,161.36,160.459,159.597,158.798,157.895,156.859,155.766,154.603,153.398,152.206,151.061,149.982,149.012,147.975,146.917,145.93,144.942,143.97,142.929,141.919,141.048
31.882,32.231,32.791,33.245,33.632,34.048,34.306,34.588,34.906,35.443,36.234,37.229,38.571,39.97,41.413,43.007,44.786,46.651,48.999,51.289,52.641,54.152,56.169,58.111,59.952,61.669,63.056,64.306,65.348,66.154,67.08,68.093,68.624,69.338,70.966,72.891,74.998,77.047,78.948,80.897,83.141,85.609,88.216,91.002,94.233,97.862,101.451,105.463,109.658,113.689,117.824,121.84,125.629,129.714,133.008,135.488,139.013,143.779,149.226,154.08,157.817,160.954,164.268,168.101,171.875,175.029,177.575,179.68,181.548,183.157,185.132,187.56,188.93,189.458,190.081,189.94,189.51,189.956,190.112,190.413,191.786,193.71,195.899,197.209,198.589,200.86,203.039,202.983,200.194,195.207,189.14,185.109,183.775,184.141,185.208,186.1,186.463,186.546,186.536,186.763,187.171,187.486,187.641,187.788,187.758,187.524,187.15,186.485,185.599,184.474,183.009,181.463,179.989,178.548,177.207,175.949,174.786,173.656,172.706,171.875,170.911,170.016,169.216,168.377,167.461,166.517,165.62,164.74,163.746,162.764,161.962,161.146,160.245,159.387,158.593,157.695,156.661,155.571,154.415,153.215,152.027,150.881,149.8,148.833,147.799,146.746,145.763,144.779,143.811,142.774,141.764
