1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
144.823,149.239,153.981,159.268,165.058,171.127,177.323,183.427,189.08,193.9,207.005,214.312,221.874,230.512,239.235,247.921,256.925,266.049,275.283,284.392,293.019,301.581,309.633,316.978,323.217,328.16,331.723,333.773,334.947,334.718,333.934,333.321,333.016,333.388,335.366,338.697,343.759,350.721,356.629,359.173,365.615,373.582,380.523,387.228,388.988,387.048,386.373,390.198,394.137,398.807,405.157,411.798,418.412,425.598,432.219,432.755,426.493,420.325,421.659,422.739,416.074,411.068,407.189,406.059,403.45,396.255,387.389,381.343,379.375,378.642,373.625,363.672,356.088,354.379
140.086,144.319,148.746,153.497,158.783,164.579,170.652,176.848,182.972,188.609,193.473,206.581,213.896,221.455,230.091,238.813,247.504,256.496,265.626,274.856,283.967,292.6,301.142,309.222,316.582,322.827,327.779,331.329,333.444,334.634,334.418,333.688,333.075,332.806,333.21,335.194,338.269,343.545,350.512,356.451,359.008,365.476,373.365,380.369,387.049,388.837,386.872,386.212,390.046,394.006,398.632,404.98,411.623,418.245,425.425,432.061,432.571,425.914,419.627,420.799,422.073,415.559,410.408,406.42,405.186,402.547,395.67,387.483,382.005,380.151,379.246,373.942,363.926,356.329
136.402,139.59,143.833,148.267,153.015,158.308,164.107,170.178,176.39,182.49,188.172,193.053,206.158,213.469,221.026,229.66,238.387,247.063,256.061,265.184,274.415,283.531,292.138,300.709,308.804,316.169,322.42,327.353,330.978,333.106,334.308,334.151,333.418,332.847,332.619,333.025,334.763,338.032,343.316,350.316,356.268,358.856,365.23,373.194,380.167,386.879,388.633,386.686,386.038,389.898,393.809,398.434,404.784,411.437,418.048,425.245,431.847,431.997,425.226,418.786,420.144,421.56,414.905,409.651,405.565,404.303,401.967,395.791,388.3,382.962,380.899,379.638,374.257,364.226
133.484,135.877,139.077,143.324,147.747,152.503,157.798,163.594,169.676,175.852,182.007,187.705,192.597,205.687,212.993,220.547,229.187,237.892,246.575,255.562,264.684,273.919,282.989,291.632,300.22,308.314,315.682,321.902,326.934,330.569,332.711,333.989,333.822,333.144,332.636,332.404,332.568,334.475,337.758,343.084,350.097,356.09,358.548,365.029,372.947,379.963,386.623,388.4,386.467,385.861,389.659,393.564,398.191,404.557,411.191,417.827,424.977,431.306,431.354,424.448,418.176,419.658,420.946,414.202,408.864,404.754,403.761,402.163,396.972,389.679,384.046,381.476,380.11,374.702
130.816,132.896,135.301,138.503,142.728,147.162,151.918,157.208,163.01,169.038,175.287,181.458,187.169,192.054,205.125,212.426,219.991,228.595,237.31,245.975,254.957,264.079,273.241,282.356,291.019,299.597,307.687,315.002,321.366,326.408,330.063,332.307,333.564,333.472,332.895,332.376,331.899,332.197,334.127,337.467,342.812,349.885,355.685,358.303,364.714,372.695,379.631,386.318,388.113,386.246,385.557,389.343,393.249,397.9,404.235,410.908,417.474,424.451,430.687,430.614,423.86,417.702,419.068,420.275,413.456,408.098,404.232,404.091,403.955,399.057,391.324,384.937,382.222,380.806
128.109,130.137,132.229,134.631,137.799,142.036,146.468,151.217,156.507,162.231,168.356,174.626,180.811,186.509,191.381,204.434,211.751,219.266,227.883,236.571,245.224,254.2,263.21,272.431,281.569,290.211,298.777,306.783,314.304,320.676,325.746,329.541,331.751,333.109,333.17,332.576,331.804,331.417,331.749,333.758,337.125,342.558,349.353,355.38,357.896,364.4,372.262,379.235,385.943,387.833,385.853,385.144,388.931,392.872,397.478,403.868,410.441,416.922,423.805,429.922,430.001,423.362,417.093,418.378,419.507,412.669,407.555,404.75,406.729,407.013,401.478,392.647,386.063,383.267
125.925,127.32,129.358,131.441,133.794,136.979,141.211,145.633,150.377,155.559,161.411,167.562,173.847,180.012,185.69,190.555,203.616,210.864,218.399,226.979,235.644,244.286,253.102,262.188,271.437,280.54,289.158,297.604,305.89,313.419,319.831,325.086,328.829,331.17,332.744,332.781,331.921,331.19,330.85,331.289,333.334,336.822,341.88,348.981,354.864,357.51,363.851,371.761,378.762,385.599,387.338,385.327,384.619,388.451,392.331,397.014,403.267,409.843,416.226,422.987,429.262,429.461,422.712,416.358,417.561,418.667,412.083,408.3,408.406,410.96,410.367,403.324,394.232,387.529
122.905,125.019,126.424,128.445,130.46,132.835,136.014,140.233,144.643,149.248,154.593,160.475,166.646,172.904,179.04,184.705,189.597,202.559,209.832,217.319,225.868,234.514,242.946,251.856,260.974,270.173,279.239,287.7,296.506,304.801,312.38,319.025,324.21,328.116,330.74,332.282,332.04,331.166,330.497,330.293,330.779,332.981,335.989,341.438,348.354,354.402,356.841,363.243,371.19,378.36,385.004,386.692,384.681,384.035,387.788,391.766,396.274,402.624,409.099,415.354,422.284,428.685,428.769,421.93,415.493,416.669,418.037,413.076,413.05,413.9,415.321,412.775,405.401,396.152
119.201,121.888,124.008,125.39,127.325,129.366,131.733,134.899,139.099,143.34,148.141,153.523,159.427,165.565,171.788,177.905,183.601,188.389,201.37,208.583,216.032,224.556,232.943,241.485,250.431,259.485,268.633,277.506,286.406,295.223,303.578,311.436,317.993,323.373,327.623,330.207,331.459,331.15,330.354,329.849,329.702,330.382,331.998,335.483,340.71,347.826,353.624,356.138,362.59,370.744,377.683,384.254,385.936,384,383.261,387.13,390.896,395.591,401.837,408.176,414.608,421.675,427.957,427.942,421.015,414.553,416.005,419.275,418.894,419.776,419.245,418.283,415.332,407.762
115.375,118.09,120.779,122.865,124.146,126.11,128.143,130.496,133.64,137.643,142.11,146.954,152.361,158.227,164.322,170.523,176.675,182.248,187.075,199.975,207.143,214.563,222.783,231.294,239.877,248.745,257.738,266.663,276.046,284.958,293.842,302.519,310.273,317.053,322.828,327.029,329.318,330.452,330.235,329.63,329.192,329.269,329.27,331.437,334.67,340.131,346.962,352.843,355.423,362.119,370.008,376.856,383.412,385.177,383.132,382.528,386.152,390.172,394.758,400.854,407.382,413.966,420.906,427.079,426.966,420.011,413.848,417.466,426.047,426.719,425.997,422.702,421.267,418.089
